# E_gamma(MeV)   Spectrum
5.145440e-01 6.797550e+18
5.413360e-01 7.974658e+18
5.695230e-01 9.394446e+18
5.991770e-01 1.077674e+19
6.303750e-01 1.184578e+19
6.631980e-01 1.251320e+19
6.977300e-01 1.285852e+19
7.340600e-01 1.295363e+19
7.722810e-01 1.286829e+19
8.124930e-01 1.264600e+19
8.547980e-01 1.233286e+19
8.993070e-01 1.195413e+19
9.461320e-01 1.152872e+19
9.953960e-01 1.107219e+19
1.047230e+00 1.059831e+19
1.101750e+00 1.011874e+19
1.159120e+00 9.637989e+18
1.219470e+00 9.161408e+18
1.282970e+00 8.692137e+18
1.349770e+00 8.235987e+18
1.420050e+00 7.793686e+18
1.493990e+00 7.365678e+18
1.571780e+00 6.955044e+18
1.653620e+00 6.559248e+18
1.739730e+00 6.182109e+18
1.830310e+00 5.821228e+18
1.925610e+00 5.478351e+18
2.025880e+00 5.151628e+18
2.131360e+00 4.841482e+18
2.242340e+00 4.548028e+18
2.359100e+00 4.269531e+18
2.481930e+00 4.007312e+18
2.611160e+00 3.759472e+18
2.747120e+00 3.525901e+18
2.890160e+00 3.306426e+18
3.040650e+00 3.100010e+18
3.198970e+00 2.907400e+18
3.365530e+00 2.726542e+18
3.540770e+00 2.558063e+18
3.725140e+00 2.401381e+18
3.919100e+00 2.256284e+18
4.123160e+00 2.122427e+18
4.337850e+00 1.999760e+18
4.563720e+00 1.888052e+18
4.801340e+00 1.788319e+18
5.051340e+00 1.698667e+18
5.314360e+00 1.619668e+18
5.591070e+00 1.551437e+18
5.882190e+00 1.493549e+18
6.188470e+00 1.446090e+18
6.510690e+00 1.408143e+18
6.849700e+00 1.378913e+18
7.206350e+00 1.357261e+18
7.581580e+00 1.341432e+18
7.976340e+00 1.329499e+18
8.391660e+00 1.318848e+18
8.828600e+00 1.307556e+18
9.288290e+00 1.291714e+18
9.771920e+00 1.270152e+18
1.028070e+01 1.241432e+18
1.081600e+01 1.201900e+18
1.137920e+01 1.153075e+18
1.197170e+01 1.095389e+18
1.259510e+01 1.029358e+18
1.325090e+01 9.575332e+17
1.394080e+01 8.819908e+17
1.466670e+01 8.040913e+17
1.543040e+01 7.264302e+17
1.623380e+01 6.507234e+17
1.707910e+01 5.779472e+17
1.796840e+01 5.088281e+17
1.890400e+01 4.456315e+17
1.988830e+01 3.875664e+17
2.092380e+01 3.360506e+17
2.201330e+01 2.900508e+17
2.315950e+01 2.481989e+17
2.436540e+01 2.113753e+17
2.563410e+01 1.784114e+17
2.696880e+01 1.504521e+17
2.837300e+01 1.271373e+17
2.985040e+01 1.079141e+17
3.140470e+01 9.217701e+16
3.303990e+01 7.895337e+16
3.476020e+01 6.810083e+16
3.657010e+01 5.909599e+16
3.847430e+01 5.143692e+16
4.047760e+01 4.490106e+16
4.258520e+01 3.901007e+16
4.480250e+01 3.363647e+16
4.713530e+01 2.888741e+16
4.958960e+01 2.463320e+16
5.217170e+01 2.098282e+16
5.488820e+01 1.783620e+16
5.774620e+01 1.518021e+16
6.075290e+01 1.295356e+16
6.391620e+01 1.102632e+16
6.724430e+01 9.421990e+15
7.074560e+01 8.017499e+15
7.442920e+01 6.751901e+15
7.830470e+01 5.586915e+15
8.238190e+01 4.465870e+15
8.667140e+01 3.423929e+15
9.118430e+01 2.511691e+15
9.593210e+01 1.771141e+15
1.009270e+02 1.214372e+15
1.061820e+02 8.105658e+14
1.117110e+02 5.370705e+14
1.175280e+02 3.529453e+14
1.236470e+02 2.319107e+14
1.300850e+02 1.531949e+14
1.368590e+02 9.968453e+13
1.439850e+02 6.330898e+13
1.514820e+02 3.843477e+13
1.593690e+02 2.194252e+13
1.676680e+02 1.205092e+13
1.763980e+02 6.285328e+12
1.855830e+02 3.251186e+12
1.952460e+02 1.672301e+12
2.054120e+02 8.148641e+11
2.161070e+02 3.817515e+11
2.273600e+02 1.681230e+11
2.391980e+02 6.938551e+10
2.516530e+02 2.859887e+10
2.647560e+02 1.091827e+10
2.785410e+02 3.899147e+09
2.930450e+02 1.367571e+09
3.083030e+02 4.334735e+08
3.243560e+02 1.341081e+08
3.412450e+02 3.769319e+07
3.590130e+02 9.821809e+06
3.777060e+02 2.559891e+06
3.973730e+02 5.553430e+05
4.180640e+02 1.167150e+05
4.398320e+02 2.421002e+04
4.627330e+02 3.816128e+03
4.868270e+02 6.753860e+02
5.121760e+02 9.835784e+01
5.388440e+02 1.227801e+01
5.669010e+02 1.623525e+00
5.964180e+02 1.694857e-01
6.274730e+02 1.613157e-02
6.601450e+02 1.234962e-03
6.945180e+02 7.527203e-05
7.306800e+02 5.437655e-06
7.687260e+02 3.163860e-07
8.087520e+02 1.365342e-08
8.508630e+02 5.863030e-10
8.951660e+02 2.153368e-11
9.417770e+02 6.604263e-13
9.908140e+02 1.594342e-14
1.042400e+03 3.288096e-16
1.096680e+03 6.021189e-18
1.153780e+03 8.106031e-20
1.213860e+03 8.314814e-22
1.277060e+03 8.195525e-24
1.343560e+03 5.289453e-26
1.413520e+03 2.667252e-28
1.487120e+03 1.217843e-30
1.564550e+03 3.162023e-33
1.646010e+03 8.208828e-36
1.731720e+03 1.179278e-38
1.821890e+03 1.518785e-41
1.916750e+03 1.139156e-44
2.016550e+03 7.145709e-48
2.121550e+03 2.524792e-51
2.232020e+03 6.727068e-55
2.348230e+03 1.348431e-58
2.470500e+03 1.548055e-62
2.599140e+03 1.095960e-66
2.734470e+03 4.873582e-71
2.876850e+03 1.520111e-75
