# E_gamma(MeV)   Spectrum
5.145440e-01 1.555283e+20
5.413360e-01 1.859739e+20
5.695230e-01 2.182894e+20
5.991770e-01 2.302544e+20
6.303750e-01 2.373268e+20
6.631980e-01 2.410103e+20
6.977300e-01 2.418299e+20
7.340600e-01 2.404131e+20
7.722810e-01 2.371638e+20
8.124930e-01 2.329352e+20
8.547980e-01 2.277931e+20
8.993070e-01 2.217988e+20
9.461320e-01 2.155886e+20
9.953960e-01 2.090026e+20
1.047230e+00 2.024084e+20
1.101750e+00 1.956061e+20
1.159120e+00 1.890083e+20
1.219470e+00 1.823561e+20
1.282970e+00 1.759146e+20
1.349770e+00 1.693900e+20
1.420050e+00 1.631856e+20
1.493990e+00 1.571687e+20
1.571780e+00 1.511668e+20
1.653620e+00 1.454387e+20
1.739730e+00 1.397588e+20
1.830310e+00 1.343326e+20
1.925610e+00 1.290962e+20
2.025880e+00 1.240476e+20
2.131360e+00 1.189984e+20
2.242340e+00 1.141944e+20
2.359100e+00 1.095259e+20
2.481930e+00 1.049927e+20
2.611160e+00 1.007221e+20
2.747120e+00 9.637132e+19
2.890160e+00 9.228966e+19
3.040650e+00 8.822673e+19
3.198970e+00 8.445994e+19
3.365530e+00 8.066994e+19
3.540770e+00 7.701485e+19
3.725140e+00 7.350039e+19
3.919100e+00 7.011350e+19
4.123160e+00 6.679716e+19
4.337850e+00 6.366683e+19
4.563720e+00 6.055517e+19
4.801340e+00 5.760732e+19
5.051340e+00 5.472413e+19
5.314360e+00 5.194871e+19
5.591070e+00 4.932280e+19
5.882190e+00 4.672764e+19
6.188470e+00 4.424636e+19
6.510690e+00 4.186594e+19
6.849700e+00 3.958930e+19
7.206350e+00 3.738609e+19
7.581580e+00 3.527119e+19
7.976340e+00 3.324249e+19
8.391660e+00 3.134612e+19
8.828600e+00 2.947096e+19
9.288290e+00 2.771224e+19
9.771920e+00 2.602948e+19
1.028070e+01 2.443791e+19
1.081600e+01 2.290915e+19
1.137920e+01 2.144417e+19
1.197170e+01 2.008542e+19
1.259510e+01 1.878485e+19
1.325090e+01 1.755683e+19
1.394080e+01 1.638343e+19
1.466670e+01 1.528813e+19
1.543040e+01 1.426412e+19
1.623380e+01 1.328404e+19
1.707910e+01 1.236711e+19
1.796840e+01 1.150643e+19
1.890400e+01 1.070870e+19
1.988830e+01 9.955850e+18
2.092380e+01 9.253020e+18
2.201330e+01 8.599641e+18
2.315950e+01 7.984313e+18
2.436540e+01 7.416778e+18
2.563410e+01 6.884961e+18
2.696880e+01 6.393570e+18
2.837300e+01 5.929887e+18
2.985040e+01 5.504435e+18
3.140470e+01 5.107335e+18
3.303990e+01 4.743818e+18
3.476020e+01 4.401852e+18
3.657010e+01 4.085720e+18
3.847430e+01 3.792883e+18
4.047760e+01 3.522948e+18
4.258520e+01 3.273267e+18
4.480250e+01 3.042447e+18
4.713530e+01 2.828507e+18
4.958960e+01 2.634354e+18
5.217170e+01 2.455698e+18
5.488820e+01 2.294346e+18
5.774620e+01 2.147099e+18
6.075290e+01 2.015236e+18
6.391620e+01 1.898924e+18
6.724430e+01 1.797889e+18
7.074560e+01 1.712940e+18
7.442920e+01 1.643010e+18
7.830470e+01 1.589015e+18
8.238190e+01 1.549860e+18
8.667140e+01 1.525644e+18
9.118430e+01 1.512710e+18
9.593210e+01 1.507206e+18
1.009270e+02 1.503269e+18
1.061820e+02 1.494191e+18
1.117110e+02 1.468474e+18
1.175280e+02 1.419953e+18
1.236470e+02 1.342875e+18
1.300850e+02 1.232045e+18
1.368590e+02 1.094120e+18
1.439850e+02 9.366381e+17
1.514820e+02 7.716957e+17
1.593690e+02 6.120728e+17
1.676680e+02 4.696960e+17
1.763980e+02 3.487913e+17
1.855830e+02 2.508908e+17
1.952460e+02 1.772754e+17
2.054120e+02 1.218698e+17
2.161070e+02 8.279093e+16
2.273600e+02 5.578263e+16
2.391980e+02 3.691903e+16
2.516530e+02 2.409453e+16
2.647560e+02 1.505643e+16
2.785410e+02 9.061415e+15
2.930450e+02 5.416014e+15
3.083030e+02 3.115577e+15
3.243560e+02 1.767139e+15
3.412450e+02 9.726656e+14
3.590130e+02 5.060542e+14
3.777060e+02 2.540032e+14
3.973730e+02 1.189787e+14
4.180640e+02 5.507690e+13
4.398320e+02 2.622327e+13
4.627330e+02 1.175073e+13
4.868270e+02 4.880655e+12
5.121760e+02 1.870348e+12
5.388440e+02 6.803815e+11
5.669010e+02 2.654236e+11
5.964180e+02 9.351620e+10
6.274730e+02 2.941879e+10
6.601450e+02 9.178892e+09
6.945180e+02 2.640478e+09
7.306800e+02 7.686585e+08
7.687260e+02 1.942931e+08
8.087520e+02 4.394383e+07
8.508630e+02 1.092153e+07
8.951660e+02 2.147166e+06
9.417770e+02 4.152550e+05
9.908140e+02 7.903710e+04
1.042400e+03 1.096893e+04
1.096680e+03 1.879145e+03
1.153780e+03 2.473901e+02
1.213860e+03 2.661071e+01
1.277060e+03 3.456962e+00
1.343560e+03 2.988087e-01
1.413520e+03 3.409617e-02
1.487120e+03 2.994590e-03
1.564550e+03 9.957104e-05
1.646010e+03 7.606186e-06
1.731720e+03 3.592523e-07
1.821890e+03 1.700960e-08
1.916750e+03 5.916311e-10
2.016550e+03 1.769125e-11
2.121550e+03 5.533424e-13
2.232020e+03 1.237768e-14
2.348230e+03 2.111801e-16
2.470500e+03 3.394198e-18
2.599140e+03 4.349163e-20
2.734470e+03 3.797683e-22
2.876850e+03 3.237737e-24
3.026650e+03 1.927146e-26
3.184240e+03 8.134746e-29
3.350040e+03 3.263421e-31
3.524470e+03 7.516733e-34
3.707990e+03 1.604878e-36
3.901060e+03 2.017649e-39
4.104180e+03 2.240945e-42
4.317880e+03 1.374940e-45
4.542710e+03 7.325288e-49
4.779240e+03 2.223201e-52
5.028090e+03 4.553452e-56
5.289890e+03 7.351327e-60
5.565330e+03 5.949947e-64
5.855110e+03 2.839867e-68
6.159980e+03 9.149050e-73
6.480720e+03 1.863967e-77
6.818160e+03 3.266976e-82
7.173170e+03 3.970046e-87
7.546670e+03 1.214937e-92
7.939620e+03 6.159978e-99
8.353020e+03 5.254919e-104
8.787950e+03 4.746637e-110
9.245530e+03 4.834425e-117
9.726930e+03 2.455162e-123
1.023340e+04 1.128390e-130
1.076620e+04 8.181931e-137
1.132680e+04 6.273233e-145
1.191660e+04 1.703974e-157
1.253710e+04 1.337809e-166
1.318990e+04 3.053287e-176
1.387660e+04 2.129938e-180
1.459920e+04 5.379005e-195
1.535930e+04 3.536893e-201
1.615910e+04 8.254369e-216
1.700050e+04 2.612625e-232
1.788570e+04 2.818148e-245
1.881690e+04 1.339006e-249
1.979670e+04 9.768707e-264
2.082750e+04 1.360040e-278
2.191200e+04 1.251175e-290
2.305290e+04 3.725379e-293
2.425320e+04 4.148864e-294
