# E_gamma(MeV)   Spectrum
5.145440e-01 1.593398e+19
5.413360e-01 1.869366e+19
5.695230e-01 2.181609e+19
5.991770e-01 2.432721e+19
6.303750e-01 2.597912e+19
6.631980e-01 2.687978e+19
6.977300e-01 2.724353e+19
7.340600e-01 2.719920e+19
7.722810e-01 2.685489e+19
8.124930e-01 2.629209e+19
8.547980e-01 2.558804e+19
8.993070e-01 2.477795e+19
9.461320e-01 2.389895e+19
9.953960e-01 2.296794e+19
1.047230e+00 2.201346e+19
1.101750e+00 2.105036e+19
1.159120e+00 2.009748e+19
1.219470e+00 1.915006e+19
1.282970e+00 1.821656e+19
1.349770e+00 1.731001e+19
1.420050e+00 1.643153e+19
1.493990e+00 1.558087e+19
1.571780e+00 1.476378e+19
1.653620e+00 1.397086e+19
1.739730e+00 1.321431e+19
1.830310e+00 1.248907e+19
1.925610e+00 1.179711e+19
2.025880e+00 1.113433e+19
2.131360e+00 1.050262e+19
2.242340e+00 9.902087e+18
2.359100e+00 9.329154e+18
2.481930e+00 8.786510e+18
2.611160e+00 8.271508e+18
2.747120e+00 7.782521e+18
2.890160e+00 7.319443e+18
3.040650e+00 6.880741e+18
3.198970e+00 6.466355e+18
3.365530e+00 6.073973e+18
3.540770e+00 5.702823e+18
3.725140e+00 5.353096e+18
3.919100e+00 5.022884e+18
4.123160e+00 4.711222e+18
4.337850e+00 4.417999e+18
4.563720e+00 4.141552e+18
4.801340e+00 3.883124e+18
5.051340e+00 3.640108e+18
5.314360e+00 3.411559e+18
5.591070e+00 3.198170e+18
5.882190e+00 2.998602e+18
6.188470e+00 2.812853e+18
6.510690e+00 2.640308e+18
6.849700e+00 2.480547e+18
7.206350e+00 2.333345e+18
7.581580e+00 2.198108e+18
7.976340e+00 2.075116e+18
8.391660e+00 1.963949e+18
8.828600e+00 1.864586e+18
9.288290e+00 1.776766e+18
9.771920e+00 1.700109e+18
1.028070e+01 1.635375e+18
1.081600e+01 1.579689e+18
1.137920e+01 1.532540e+18
1.197170e+01 1.492986e+18
1.259510e+01 1.458146e+18
1.325090e+01 1.426858e+18
1.394080e+01 1.396076e+18
1.466670e+01 1.364344e+18
1.543040e+01 1.329786e+18
1.623380e+01 1.289795e+18
1.707910e+01 1.244071e+18
1.796840e+01 1.191100e+18
1.890400e+01 1.132612e+18
