# E_gamma(MeV)   Spectrum
5.145440e-01 1.794730e+19
5.413360e-01 2.239159e+19
5.695230e-01 2.703747e+19
5.991770e-01 2.850169e+19
6.303750e-01 2.935329e+19
6.631980e-01 2.968218e+19
6.977300e-01 2.961463e+19
7.340600e-01 2.924805e+19
7.722810e-01 2.865749e+19
8.124930e-01 2.792256e+19
8.547980e-01 2.707876e+19
8.993070e-01 2.616462e+19
9.461320e-01 2.520735e+19
9.953960e-01 2.423307e+19
1.047230e+00 2.325803e+19
1.101750e+00 2.228288e+19
1.159120e+00 2.132778e+19
1.219470e+00 2.039746e+19
1.282970e+00 1.949635e+19
1.349770e+00 1.861313e+19
1.420050e+00 1.777460e+19
1.493990e+00 1.696403e+19
1.571780e+00 1.618941e+19
1.653620e+00 1.544905e+19
1.739730e+00 1.474008e+19
1.830310e+00 1.406962e+19
1.925610e+00 1.342582e+19
2.025880e+00 1.281785e+19
2.131360e+00 1.223592e+19
2.242340e+00 1.169020e+19
2.359100e+00 1.117002e+19
2.481930e+00 1.067719e+19
2.611160e+00 1.020718e+19
2.747120e+00 9.764309e+18
2.890160e+00 9.349122e+18
3.040650e+00 8.951635e+18
3.198970e+00 8.580235e+18
3.365530e+00 8.226162e+18
3.540770e+00 7.888661e+18
3.725140e+00 7.570136e+18
3.919100e+00 7.268354e+18
4.123160e+00 6.986988e+18
4.337850e+00 6.714293e+18
4.563720e+00 6.454214e+18
4.801340e+00 6.212413e+18
5.051340e+00 5.979395e+18
5.314360e+00 5.758806e+18
5.591070e+00 5.549405e+18
5.882190e+00 5.353344e+18
6.188470e+00 5.164371e+18
6.510690e+00 4.983853e+18
6.849700e+00 4.813794e+18
7.206350e+00 4.649654e+18
7.581580e+00 4.493155e+18
7.976340e+00 4.337842e+18
8.391660e+00 4.196838e+18
8.828600e+00 4.054338e+18
9.288290e+00 3.922091e+18
9.771920e+00 3.792104e+18
1.028070e+01 3.664387e+18
1.081600e+01 3.544337e+18
1.137920e+01 3.423780e+18
1.197170e+01 3.313361e+18
1.259510e+01 3.202121e+18
1.325090e+01 3.094935e+18
1.394080e+01 2.987794e+18
1.466670e+01 2.885976e+18
1.543040e+01 2.784464e+18
1.623380e+01 2.691232e+18
1.707910e+01 2.595446e+18
1.796840e+01 2.499308e+18
1.890400e+01 2.411522e+18
1.988830e+01 2.319504e+18
2.092380e+01 2.236638e+18
2.201330e+01 2.149088e+18
2.315950e+01 2.068908e+18
2.436540e+01 1.987090e+18
2.563410e+01 1.909619e+18
2.696880e+01 1.832397e+18
2.837300e+01 1.756684e+18
2.985040e+01 1.685730e+18
3.140470e+01 1.613612e+18
3.303990e+01 1.544910e+18
3.476020e+01 1.476188e+18
3.657010e+01 1.410444e+18
3.847430e+01 1.346679e+18
4.047760e+01 1.283101e+18
4.258520e+01 1.220389e+18
4.480250e+01 1.160987e+18
4.713530e+01 1.102316e+18
4.958960e+01 1.044770e+18
5.217170e+01 9.883202e+17
5.488820e+01 9.354369e+17
5.774620e+01 8.833857e+17
6.075290e+01 8.331112e+17
6.391620e+01 7.847329e+17
6.724430e+01 7.384673e+17
7.074560e+01 6.938594e+17
7.442920e+01 6.507885e+17
7.830470e+01 6.085884e+17
8.238190e+01 5.691323e+17
8.667140e+01 5.318078e+17
9.118430e+01 4.946728e+17
9.593210e+01 4.602154e+17
1.009270e+02 4.273212e+17
1.061820e+02 3.968707e+17
1.117110e+02 3.676661e+17
1.175280e+02 3.398428e+17
1.236470e+02 3.141312e+17
1.300850e+02 2.894643e+17
1.368590e+02 2.665165e+17
1.439850e+02 2.443569e+17
1.514820e+02 2.242919e+17
1.593690e+02 2.051070e+17
1.676680e+02 1.869257e+17
1.763980e+02 1.703562e+17
1.855830e+02 1.545750e+17
1.952460e+02 1.404902e+17
2.054120e+02 1.270736e+17
2.161070e+02 1.150826e+17
2.273600e+02 1.039633e+17
2.391980e+02 9.387275e+16
2.516530e+02 8.472437e+16
2.647560e+02 7.624252e+16
2.785410e+02 6.876975e+16
2.930450e+02 6.181651e+16
3.083030e+02 5.547949e+16
3.243560e+02 4.964997e+16
3.412450e+02 4.441574e+16
3.590130e+02 3.958563e+16
3.777060e+02 3.519107e+16
3.973730e+02 3.128769e+16
4.180640e+02 2.774318e+16
4.398320e+02 2.460482e+16
4.627330e+02 2.177771e+16
4.868270e+02 1.927355e+16
5.121760e+02 1.707991e+16
5.388440e+02 1.511577e+16
5.669010e+02 1.344249e+16
5.964180e+02 1.192556e+16
6.274730e+02 1.064134e+16
6.601450e+02 9.506477e+15
6.945180e+02 8.526047e+15
7.306800e+02 7.657646e+15
7.687260e+02 6.850496e+15
8.087520e+02 6.106210e+15
8.508630e+02 5.392955e+15
8.951660e+02 4.739805e+15
9.417770e+02 4.133280e+15
9.908140e+02 3.608361e+15
1.042400e+03 3.167539e+15
1.096680e+03 2.811870e+15
1.153780e+03 2.531725e+15
1.213860e+03 2.315330e+15
1.277060e+03 2.152540e+15
1.343560e+03 2.027955e+15
1.413520e+03 1.926625e+15
1.487120e+03 1.825501e+15
1.564550e+03 1.708394e+15
1.646010e+03 1.562233e+15
1.731720e+03 1.374682e+15
1.821890e+03 1.159536e+15
1.916750e+03 9.322441e+14
2.016550e+03 7.169877e+14
2.121550e+03 5.278441e+14
2.232020e+03 3.773569e+14
2.348230e+03 2.639352e+14
2.470500e+03 1.841141e+14
