# E_gamma(MeV)   Spectrum
5.145440e-01 2.339943e+22
5.413360e-01 2.971389e+22
5.695230e-01 3.602124e+22
5.991770e-01 3.633947e+22
6.303750e-01 3.617305e+22
6.631980e-01 3.563976e+22
6.977300e-01 3.484606e+22
7.340600e-01 3.387150e+22
7.722810e-01 3.277467e+22
8.124930e-01 3.160212e+22
8.547980e-01 3.038520e+22
8.993070e-01 2.914907e+22
9.461320e-01 2.791075e+22
9.953960e-01 2.668586e+22
1.047230e+00 2.548401e+22
1.101750e+00 2.431032e+22
1.159120e+00 2.317140e+22
1.219470e+00 2.207204e+22
1.282970e+00 2.101257e+22
1.349770e+00 1.999250e+22
1.420050e+00 1.901694e+22
1.493990e+00 1.808232e+22
1.571780e+00 1.719025e+22
1.653620e+00 1.633844e+22
1.739730e+00 1.552677e+22
1.830310e+00 1.475429e+22
1.925610e+00 1.401861e+22
2.025880e+00 1.332082e+22
2.131360e+00 1.265583e+22
2.242340e+00 1.202568e+22
2.359100e+00 1.142810e+22
2.481930e+00 1.086065e+22
2.611160e+00 1.032150e+22
2.747120e+00 9.811242e+21
2.890160e+00 9.328402e+21
3.040650e+00 8.869669e+21
3.198970e+00 8.436377e+21
3.365530e+00 8.025798e+21
3.540770e+00 7.636423e+21
3.725140e+00 7.267296e+21
3.919100e+00 6.918701e+21
4.123160e+00 6.589868e+21
4.337850e+00 6.277126e+21
4.563720e+00 5.980666e+21
4.801340e+00 5.701843e+21
5.051340e+00 5.437132e+21
5.314360e+00 5.186662e+21
5.591070e+00 4.950173e+21
5.882190e+00 4.726353e+21
6.188470e+00 4.514936e+21
6.510690e+00 4.314339e+21
6.849700e+00 4.125157e+21
7.206350e+00 3.945260e+21
7.581580e+00 3.776366e+21
7.976340e+00 3.615362e+21
8.391660e+00 3.463488e+21
8.828600e+00 3.319474e+21
9.288290e+00 3.183916e+21
9.771920e+00 3.055165e+21
1.028070e+01 2.932080e+21
1.081600e+01 2.816796e+21
1.137920e+01 2.707273e+21
