# E_gamma(MeV)   Spectrum
5.145440e-01 1.606183e+19
5.413360e-01 1.884277e+19
5.695230e-01 2.198910e+19
5.991770e-01 2.452467e+19
6.303750e-01 2.618837e+19
6.631980e-01 2.709400e+19
6.977300e-01 2.745873e+19
7.340600e-01 2.741242e+19
7.722810e-01 2.706416e+19
8.124930e-01 2.649587e+19
8.547980e-01 2.578540e+19
8.993070e-01 2.496819e+19
9.461320e-01 2.408160e+19
9.953960e-01 2.314262e+19
1.047230e+00 2.218033e+19
1.101750e+00 2.120941e+19
1.159120e+00 2.024865e+19
1.219470e+00 1.929353e+19
1.282970e+00 1.835237e+19
1.349770e+00 1.743878e+19
1.420050e+00 1.655325e+19
1.493990e+00 1.569588e+19
1.571780e+00 1.487229e+19
1.653620e+00 1.407322e+19
1.739730e+00 1.331085e+19
1.830310e+00 1.258005e+19
1.925610e+00 1.188273e+19
2.025880e+00 1.121497e+19
2.131360e+00 1.057847e+19
2.242340e+00 9.973524e+18
2.359100e+00 9.396254e+18
2.481930e+00 8.849648e+18
2.611160e+00 8.330806e+18
2.747120e+00 7.838260e+18
2.890160e+00 7.371911e+18
3.040650e+00 6.929962e+18
3.198970e+00 6.512551e+18
3.365530e+00 6.117323e+18
3.540770e+00 5.743516e+18
3.725140e+00 5.391215e+18
3.919100e+00 5.058590e+18
4.123160e+00 4.744569e+18
4.337850e+00 4.449169e+18
4.563720e+00 4.170540e+18
4.801340e+00 3.909974e+18
5.051340e+00 3.664894e+18
5.314360e+00 3.434322e+18
5.591070e+00 3.218904e+18
5.882190e+00 3.017242e+18
6.188470e+00 2.829377e+18
6.510690e+00 2.654689e+18
6.849700e+00 2.492690e+18
7.206350e+00 2.343170e+18
7.581580e+00 2.205480e+18
7.976340e+00 2.079943e+18
8.391660e+00 1.966092e+18
8.828600e+00 1.863927e+18
9.288290e+00 1.773272e+18
9.771920e+00 1.693791e+18
1.028070e+01 1.626402e+18
1.081600e+01 1.568439e+18
1.137920e+01 1.519676e+18
1.197170e+01 1.479530e+18
1.259510e+01 1.445540e+18
1.325090e+01 1.416611e+18
1.394080e+01 1.389717e+18
1.466670e+01 1.362995e+18
1.543040e+01 1.334014e+18
1.623380e+01 1.299556e+18
1.707910e+01 1.259032e+18
