# E_gamma(MeV)   Spectrum
5.145440e-01 6.841984e+21
5.413360e-01 8.683812e+21
5.695230e-01 1.052564e+22
5.991770e-01 1.062962e+22
6.303750e-01 1.059095e+22
6.631980e-01 1.044321e+22
6.977300e-01 1.021766e+22
7.340600e-01 9.937674e+21
7.722810e-01 9.620496e+21
8.124930e-01 9.280426e+21
8.547980e-01 8.926539e+21
8.993070e-01 8.566374e+21
9.461320e-01 8.205113e+21
9.953960e-01 7.847513e+21
1.047230e+00 7.496489e+21
1.101750e+00 7.153316e+21
1.159120e+00 6.820281e+21
1.219470e+00 6.498746e+21
1.282970e+00 6.188876e+21
1.349770e+00 5.890225e+21
1.420050e+00 5.604831e+21
1.493990e+00 5.331282e+21
1.571780e+00 5.070160e+21
1.653620e+00 4.820894e+21
1.739730e+00 4.583266e+21
1.830310e+00 4.357251e+21
1.925610e+00 4.141838e+21
2.025880e+00 3.937590e+21
2.131360e+00 3.742907e+21
2.242340e+00 3.558502e+21
2.359100e+00 3.383580e+21
2.481930e+00 3.217467e+21
2.611160e+00 3.059589e+21
2.747120e+00 2.910155e+21
2.890160e+00 2.768834e+21
3.040650e+00 2.634442e+21
3.198970e+00 2.507602e+21
3.365530e+00 2.387286e+21
3.540770e+00 2.273123e+21
3.725140e+00 2.164927e+21
3.919100e+00 2.062681e+21
4.123160e+00 1.966291e+21
4.337850e+00 1.874464e+21
4.563720e+00 1.787366e+21
4.801340e+00 1.705470e+21
5.051340e+00 1.627616e+21
5.314360e+00 1.553889e+21
5.591070e+00 1.484274e+21
5.882190e+00 1.418313e+21
6.188470e+00 1.355925e+21
6.510690e+00 1.296678e+21
6.849700e+00 1.240750e+21
7.206350e+00 1.187529e+21
7.581580e+00 1.137437e+21
7.976340e+00 1.089554e+21
8.391660e+00 1.044500e+21
8.828600e+00 1.001542e+21
9.288290e+00 9.611627e+20
9.771920e+00 9.226782e+20
1.028070e+01 8.858093e+20
1.081600e+01 8.512509e+20
1.137920e+01 8.182553e+20
1.197170e+01 7.868486e+20
1.259510e+01 7.568608e+20
1.325090e+01 7.288142e+20
1.394080e+01 7.013292e+20
1.466670e+01 6.752525e+20
