# E_gamma(MeV)   Spectrum
1.153780e+03 7.806410e+02
1.213860e+03 9.907597e+01
1.277060e+03 1.404555e+01
1.343560e+03 1.369758e+00
1.413520e+03 1.718287e-01
1.487120e+03 1.652766e-02
1.564550e+03 7.329608e-04
1.646010e+03 6.288123e-05
1.731720e+03 3.389288e-06
1.821890e+03 1.934332e-07
1.916750e+03 8.016890e-09
2.016550e+03 2.728556e-10
2.121550e+03 1.068097e-11
2.232020e+03 2.799889e-13
2.348230e+03 6.129936e-15
2.470500e+03 1.203267e-16
2.599140e+03 1.861719e-18
2.734470e+03 2.119582e-20
2.876850e+03 2.320497e-22
3.026650e+03 1.767097e-24
3.184240e+03 9.761959e-27
3.350040e+03 5.178287e-29
3.524470e+03 1.641270e-31
3.707990e+03 4.556346e-34
3.901060e+03 8.376917e-37
4.104180e+03 1.242486e-39
4.317880e+03 1.126183e-42
4.542710e+03 8.559770e-46
4.779240e+03 3.813446e-49
5.028090e+03 1.211842e-52
5.289890e+03 2.806348e-56
5.565330e+03 3.685001e-60
5.855110e+03 2.868026e-64
6.159980e+03 1.500617e-68
6.480720e+03 5.164935e-73
6.818160e+03 1.275066e-77
7.173170e+03 2.258479e-82
7.546670e+03 1.262103e-87
7.939620e+03 1.738571e-93
8.353020e+03 1.609232e-98
8.787950e+03 2.652587e-104
9.245530e+03 5.602495e-111
9.726930e+03 5.664787e-117
1.023340e+04 5.609013e-124
1.076620e+04 8.790754e-130
1.132680e+04 1.594917e-137
1.191660e+04 2.545916e-149
1.253710e+04 5.557266e-158
1.318990e+04 3.680445e-167
1.387660e+04 2.567444e-171
1.459920e+04 7.068720e-186
1.535930e+04 3.913826e-191
1.615910e+04 9.072279e-206
1.700050e+04 1.276708e-220
1.788570e+04 5.555306e-233
1.881690e+04 2.639529e-237
1.979670e+04 8.592344e-251
2.082750e+04 5.581782e-265
2.191200e+04 1.201742e-278
2.305290e+04 1.514889e-283
2.425320e+04 2.819903e-285
2.551610e+04 4.807512e-294
2.684460e+04 1.130266e-295
2.824240e+04 0.000000e+00
2.971300e+04 0.000000e+00
3.126010e+04 0.000000e+00
3.288770e+04 0.000000e+00
3.460020e+04 0.000000e+00
3.640170e+04 0.000000e+00
3.829710e+04 0.000000e+00
4.029120e+04 0.000000e+00
4.238910e+04 0.000000e+00
4.459630e+04 0.000000e+00
4.691830e+04 0.000000e+00
4.936130e+04 0.000000e+00
5.193150e+04 0.000000e+00
5.463550e+04 0.000000e+00
5.748030e+04 0.000000e+00
6.047320e+04 0.000000e+00
6.362200e+04 0.000000e+00
6.693470e+04 0.000000e+00
7.041990e+04 0.000000e+00
7.408660e+04 0.000000e+00
7.794420e+04 0.000000e+00
8.200260e+04 0.000000e+00
8.627240e+04 0.000000e+00
9.076450e+04 0.000000e+00
9.549040e+04 0.000000e+00
1.004630e+05 0.000000e+00
1.056930e+05 0.000000e+00
1.111970e+05 0.000000e+00
1.169870e+05 0.000000e+00
1.230780e+05 0.000000e+00
1.294860e+05 0.000000e+00
1.362290e+05 0.000000e+00
1.433220e+05 0.000000e+00
1.507850e+05 0.000000e+00
1.586360e+05 0.000000e+00
1.668960e+05 0.000000e+00
1.755860e+05 0.000000e+00
1.847280e+05 0.000000e+00
1.943470e+05 0.000000e+00
2.044660e+05 0.000000e+00
2.151120e+05 0.000000e+00
2.263130e+05 0.000000e+00
2.380970e+05 0.000000e+00
2.504940e+05 0.000000e+00
2.635370e+05 0.000000e+00
2.772590e+05 0.000000e+00
2.916960e+05 0.000000e+00
3.068840e+05 0.000000e+00
3.228630e+05 0.000000e+00
3.396740e+05 0.000000e+00
3.573600e+05 0.000000e+00
3.759670e+05 0.000000e+00
3.955440e+05 0.000000e+00
4.161390e+05 0.000000e+00
4.378070e+05 0.000000e+00
4.606030e+05 0.000000e+00
4.845860e+05 0.000000e+00
5.098180e+05 0.000000e+00
5.363630e+05 0.000000e+00
5.642910e+05 0.000000e+00
5.936730e+05 0.000000e+00
6.245840e+05 0.000000e+00
6.571060e+05 0.000000e+00
6.913200e+05 0.000000e+00
7.273170e+05 0.000000e+00
7.651870e+05 0.000000e+00
