# E_gamma(MeV)   Spectrum
5.145440e-01 1.559876e+19
5.413360e-01 1.829835e+19
5.695230e-01 2.135821e+19
5.991770e-01 2.384520e+19
6.303750e-01 2.548421e+19
6.631980e-01 2.638008e+19
6.977300e-01 2.674473e+19
7.340600e-01 2.670544e+19
7.722810e-01 2.636992e+19
8.124930e-01 2.581798e+19
8.547980e-01 2.512620e+19
8.993070e-01 2.432972e+19
9.461320e-01 2.346478e+19
9.953960e-01 2.254848e+19
1.047230e+00 2.160920e+19
1.101750e+00 2.066154e+19
1.159120e+00 1.972334e+19
1.219470e+00 1.879083e+19
1.282970e+00 1.787197e+19
1.349770e+00 1.698018e+19
1.420050e+00 1.611569e+19
1.493990e+00 1.527875e+19
1.571780e+00 1.447484e+19
1.653620e+00 1.369509e+19
1.739730e+00 1.295123e+19
1.830310e+00 1.223820e+19
1.925610e+00 1.155794e+19
2.025880e+00 1.090668e+19
2.131360e+00 1.028602e+19
2.242340e+00 9.696249e+18
2.359100e+00 9.133501e+18
2.481930e+00 8.600814e+18
2.611160e+00 8.095209e+18
2.747120e+00 7.615391e+18
2.890160e+00 7.161173e+18
3.040650e+00 6.730800e+18
3.198970e+00 6.324419e+18
3.365530e+00 5.939723e+18
3.540770e+00 5.576003e+18
3.725140e+00 5.233263e+18
3.919100e+00 4.909782e+18
4.123160e+00 4.604499e+18
4.337850e+00 4.317404e+18
4.563720e+00 4.046750e+18
4.801340e+00 3.793764e+18
5.051340e+00 3.555939e+18
5.314360e+00 3.332353e+18
5.591070e+00 3.123607e+18
5.882190e+00 2.928384e+18
6.188470e+00 2.746731e+18
6.510690e+00 2.578056e+18
6.849700e+00 2.421882e+18
7.206350e+00 2.278057e+18
7.581580e+00 2.145926e+18
7.976340e+00 2.025819e+18
8.391660e+00 1.917254e+18
8.828600e+00 1.820230e+18
9.288290e+00 1.734513e+18
9.771920e+00 1.659718e+18
1.028070e+01 1.596698e+18
1.081600e+01 1.542634e+18
1.137920e+01 1.497252e+18
1.197170e+01 1.459827e+18
1.259510e+01 1.427740e+18
1.325090e+01 1.399835e+18
1.394080e+01 1.373017e+18
1.466670e+01 1.345519e+18
1.543040e+01 1.315131e+18
1.623380e+01 1.278931e+18
1.707910e+01 1.236580e+18
1.796840e+01 1.186553e+18
1.890400e+01 1.130670e+18
1.988830e+01 1.068670e+18
2.092380e+01 1.001283e+18
2.201330e+01 9.287560e+17
2.315950e+01 8.495603e+17
2.436540e+01 7.687149e+17
2.563410e+01 6.879990e+17
2.696880e+01 6.128815e+17
2.837300e+01 5.447345e+17
2.985040e+01 4.841616e+17
3.140470e+01 4.301440e+17
3.303990e+01 3.805626e+17
3.476020e+01 3.353727e+17
3.657010e+01 2.937390e+17
3.847430e+01 2.550920e+17
4.047760e+01 2.199366e+17
4.258520e+01 1.873464e+17
4.480250e+01 1.575959e+17
4.713530e+01 1.316961e+17
4.958960e+01 1.091663e+17
5.217170e+01 9.065429e+16
5.488820e+01 7.545013e+16
5.774620e+01 6.320332e+16
6.075290e+01 5.333203e+16
6.391620e+01 4.499507e+16
6.724430e+01 3.813215e+16
7.074560e+01 3.222522e+16
7.442920e+01 2.706634e+16
7.830470e+01 2.251675e+16
8.238190e+01 1.835916e+16
8.667140e+01 1.463589e+16
9.118430e+01 1.143536e+16
9.593210e+01 8.759903e+15
1.009270e+02 6.640219e+15
1.061820e+02 4.955276e+15
1.117110e+02 3.645629e+15
1.175280e+02 2.632230e+15
1.236470e+02 1.858124e+15
1.300850e+02 1.283588e+15
1.368590e+02 8.608383e+14
1.439850e+02 5.693183e+14
1.514820e+02 3.696182e+14
1.593690e+02 2.369860e+14
1.676680e+02 1.517429e+14
1.763980e+02 9.536122e+13
1.855830e+02 5.870762e+13
1.952460e+02 3.508205e+13
2.054120e+02 1.991921e+13
2.161070e+02 1.110914e+13
2.273600e+02 5.875812e+12
2.391980e+02 3.024705e+12
2.516530e+02 1.549603e+12
2.647560e+02 7.459030e+11
2.785410e+02 3.474387e+11
2.930450e+02 1.559460e+11
3.083030e+02 6.555445e+10
3.243560e+02 2.783817e+10
3.412450e+02 1.073448e+10
