# E_gamma(MeV)   Spectrum
5.145440e-01 1.688099e+19
5.413360e-01 1.983784e+19
5.695230e-01 2.316979e+19
5.991770e-01 2.576237e+19
6.303750e-01 2.746016e+19
6.631980e-01 2.838407e+19
6.977300e-01 2.875311e+19
7.340600e-01 2.869938e+19
7.722810e-01 2.833459e+19
8.124930e-01 2.774500e+19
8.547980e-01 2.700804e+19
8.993070e-01 2.616013e+19
9.461320e-01 2.524148e+19
9.953960e-01 2.426906e+19
1.047230e+00 2.327360e+19
1.101750e+00 2.226844e+19
1.159120e+00 2.127396e+19
1.219470e+00 2.028556e+19
1.282970e+00 1.931243e+19
1.349770e+00 1.836610e+19
1.420050e+00 1.745005e+19
1.493990e+00 1.656300e+19
1.571780e+00 1.570933e+19
1.653620e+00 1.488263e+19
1.739730e+00 1.409236e+19
1.830310e+00 1.333518e+19
1.925610e+00 1.261192e+19
2.025880e+00 1.191973e+19
2.131360e+00 1.125856e+19
2.242340e+00 1.063028e+19
2.359100e+00 1.003015e+19
2.481930e+00 9.461423e+18
2.611160e+00 8.921606e+18
2.747120e+00 8.407376e+18
2.890160e+00 7.920854e+18
3.040650e+00 7.458436e+18
3.198970e+00 7.022475e+18
3.365530e+00 6.607699e+18
3.540770e+00 6.215201e+18
3.725140e+00 5.844641e+18
3.919100e+00 5.494281e+18
4.123160e+00 5.162882e+18
4.337850e+00 4.850726e+18
4.563720e+00 4.555132e+18
4.801340e+00 4.278253e+18
5.051340e+00 4.017190e+18
5.314360e+00 3.770605e+18
5.591070e+00 3.540325e+18
5.882190e+00 3.323166e+18
6.188470e+00 3.120465e+18
6.510690e+00 2.931230e+18
6.849700e+00 2.754893e+18
7.206350e+00 2.591447e+18
7.581580e+00 2.439963e+18
7.976340e+00 2.300880e+18
8.391660e+00 2.174221e+18
8.828600e+00 2.059112e+18
9.288290e+00 1.956379e+18
9.771920e+00 1.865329e+18
1.028070e+01 1.787281e+18
1.081600e+01 1.719772e+18
1.137920e+01 1.662632e+18
1.197170e+01 1.615939e+18
1.259510e+01 1.576992e+18
1.325090e+01 1.544639e+18
1.394080e+01 1.515645e+18
1.466670e+01 1.487700e+18
1.543040e+01 1.457811e+18
1.623380e+01 1.421973e+18
1.707910e+01 1.379042e+18
1.796840e+01 1.326842e+18
1.890400e+01 1.266704e+18
1.988830e+01 1.198261e+18
2.092380e+01 1.122487e+18
2.201330e+01 1.040047e+18
2.315950e+01 9.500942e+17
2.436540e+01 8.586860e+17
2.563410e+01 7.682191e+17
2.696880e+01 6.847175e+17
2.837300e+01 6.094272e+17
2.985040e+01 5.427791e+17
3.140470e+01 4.831615e+17
3.303990e+01 4.281611e+17
3.476020e+01 3.773835e+17
3.657010e+01 3.302041e+17
3.847430e+01 2.863197e+17
4.047760e+01 2.466437e+17
4.258520e+01 2.105172e+17
4.480250e+01 1.783413e+17
4.713530e+01 1.509350e+17
4.958960e+01 1.275061e+17
5.217170e+01 1.083775e+17
5.488820e+01 9.257103e+16
5.774620e+01 7.958107e+16
6.075290e+01 6.884156e+16
6.391620e+01 5.961748e+16
6.724430e+01 5.194559e+16
7.074560e+01 4.544025e+16
7.442920e+01 3.994074e+16
7.830470e+01 3.530529e+16
8.238190e+01 3.123748e+16
8.667140e+01 2.767911e+16
9.118430e+01 2.458093e+16
9.593210e+01 2.181500e+16
1.009270e+02 1.935587e+16
1.061820e+02 1.707064e+16
1.117110e+02 1.490170e+16
1.175280e+02 1.284744e+16
1.236470e+02 1.092228e+16
1.300850e+02 9.138093e+15
1.368590e+02 7.520850e+15
1.439850e+02 6.119941e+15
1.514820e+02 4.927718e+15
1.593690e+02 3.957029e+15
1.676680e+02 3.212712e+15
1.763980e+02 2.651676e+15
1.855830e+02 2.245268e+15
1.952460e+02 1.962411e+15
2.054120e+02 1.756688e+15
2.161070e+02 1.602729e+15
2.273600e+02 1.473091e+15
2.391980e+02 1.346680e+15
2.516530e+02 1.215093e+15
2.647560e+02 1.073387e+15
2.785410e+02 9.272867e+14
2.930450e+02 7.804184e+14
3.083030e+02 6.389412e+14
3.243560e+02 5.093510e+14
3.412450e+02 3.935764e+14
3.590130e+02 2.976901e+14
3.777060e+02 2.202518e+14
3.973730e+02 1.584563e+14
4.180640e+02 1.105551e+14
4.398320e+02 7.287274e+13
4.627330e+02 4.544647e+13
4.868270e+02 2.745417e+13
5.121760e+02 1.590027e+13
5.388440e+02 9.387642e+12
5.669010e+02 5.563298e+12
5.964180e+02 3.260707e+12
6.274730e+02 1.841924e+12
6.601450e+02 9.453567e+11
6.945180e+02 4.532561e+11
7.306800e+02 2.132526e+11
7.687260e+02 9.538586e+10
8.087520e+02 4.194676e+10
8.508630e+02 1.738111e+10
8.951660e+02 6.764144e+09
9.417770e+02 2.695792e+09
9.908140e+02 9.254122e+08
1.042400e+03 2.924492e+08
1.096680e+03 9.438735e+07
1.153780e+03 2.768244e+07
1.213860e+03 7.733360e+06
1.277060e+03 1.944368e+06
1.343560e+03 4.128127e+05
1.413520e+03 1.013403e+05
1.487120e+03 1.985621e+04
1.564550e+03 3.505964e+03
1.646010e+03 6.275976e+02
1.731720e+03 9.079338e+01
1.821890e+03 1.365209e+01
1.916750e+03 1.376917e+00
2.016550e+03 1.243340e-01
2.121550e+03 1.500832e-02
2.232020e+03 1.181355e-03
2.348230e+03 9.188758e-05
2.470500e+03 6.472709e-06
2.599140e+03 3.237681e-07
2.734470e+03 1.756708e-08
2.876850e+03 7.748032e-10
3.026650e+03 2.375123e-11
3.184240e+03 8.091888e-13
3.350040e+03 2.018384e-14
3.524470e+03 4.480883e-16
3.707990e+03 7.368423e-18
3.901060e+03 1.051734e-19
4.104180e+03 1.138011e-21
4.317880e+03 1.096884e-23
4.542710e+03 7.571444e-26
4.779240e+03 3.752258e-28
5.028090e+03 1.732915e-30
5.289890e+03 5.050966e-33
5.565330e+03 1.140824e-35
5.855110e+03 2.010932e-38
6.159980e+03 2.229608e-41
6.480720e+03 2.023675e-44
6.818160e+03 1.137118e-47
7.173170e+03 4.471938e-51
7.546670e+03 1.287157e-54
7.939620e+03 1.994093e-58
8.353020e+03 2.323491e-62
8.787950e+03 1.631108e-66
9.245530e+03 6.163926e-71
9.726930e+03 1.960024e-75
1.023340e+04 2.627927e-80
1.076620e+04 1.715281e-84
1.132680e+04 7.795786e-90
1.191660e+04 1.483437e-96
1.253710e+04 1.664435e-102
1.318990e+04 9.335417e-109
1.387660e+04 6.535389e-113
1.459920e+04 2.890559e-122
1.535930e+04 1.779325e-126
1.615910e+04 3.230200e-137
1.700050e+04 2.562528e-145
1.788570e+04 8.771368e-154
1.881690e+04 4.167705e-158
1.979670e+04 2.001187e-167
2.082750e+04 2.835421e-177
2.191200e+04 2.393419e-192
2.305290e+04 2.551761e-203
2.425320e+04 5.827901e-208
2.551610e+04 6.312843e-227
2.684460e+04 2.285875e-231
2.824240e+04 1.102005e-244
2.971300e+04 4.172169e-256
3.126010e+04 2.669651e-262
3.288770e+04 1.129724e-264
3.460020e+04 1.090790e-275
3.640170e+04 4.629974e-278
3.829710e+04 2.499280e-285
4.029120e+04 4.706303e-293
4.238910e+04 0.000000e+00
4.459630e+04 0.000000e+00
4.691830e+04 0.000000e+00
4.936130e+04 0.000000e+00
5.193150e+04 0.000000e+00
5.463550e+04 0.000000e+00
5.748030e+04 0.000000e+00
6.047320e+04 0.000000e+00
6.362200e+04 0.000000e+00
6.693470e+04 0.000000e+00
7.041990e+04 0.000000e+00
7.408660e+04 0.000000e+00
7.794420e+04 0.000000e+00
8.200260e+04 0.000000e+00
8.627240e+04 0.000000e+00
9.076450e+04 0.000000e+00
9.549040e+04 0.000000e+00
1.004630e+05 0.000000e+00
1.056930e+05 0.000000e+00
1.111970e+05 0.000000e+00
1.169870e+05 0.000000e+00
1.230780e+05 0.000000e+00
1.294860e+05 0.000000e+00
1.362290e+05 0.000000e+00
1.433220e+05 0.000000e+00
1.507850e+05 0.000000e+00
1.586360e+05 0.000000e+00
1.668960e+05 0.000000e+00
1.755860e+05 0.000000e+00
1.847280e+05 0.000000e+00
1.943470e+05 0.000000e+00
2.044660e+05 0.000000e+00
2.151120e+05 0.000000e+00
2.263130e+05 0.000000e+00
2.380970e+05 0.000000e+00
2.504940e+05 0.000000e+00
2.635370e+05 0.000000e+00
2.772590e+05 0.000000e+00
