# E_gamma(MeV)   Spectrum
5.145440e-01 5.539358e+19
5.413360e-01 6.898958e+19
5.695230e-01 8.319230e+19
5.991770e-01 8.753907e+19
6.303750e-01 9.009883e+19
6.631980e-01 9.110948e+19
6.977300e-01 9.093978e+19
7.340600e-01 8.986661e+19
7.722810e-01 8.810718e+19
8.124930e-01 8.591509e+19
8.547980e-01 8.338970e+19
8.993070e-01 8.064216e+19
9.461320e-01 7.776308e+19
9.953960e-01 7.483205e+19
1.047230e+00 7.190389e+19
1.101750e+00 6.896134e+19
1.159120e+00 6.608367e+19
1.219470e+00 6.328236e+19
1.282970e+00 6.056955e+19
1.349770e+00 5.790318e+19
1.420050e+00 5.537934e+19
1.493990e+00 5.293720e+19
1.571780e+00 5.059683e+19
1.653620e+00 4.836866e+19
1.739730e+00 4.622848e+19
1.830310e+00 4.420931e+19
1.925610e+00 4.226100e+19
2.025880e+00 4.042397e+19
2.131360e+00 3.866865e+19
2.242340e+00 3.701478e+19
2.359100e+00 3.544334e+19
2.481930e+00 3.394776e+19
2.611160e+00 3.252167e+19
2.747120e+00 3.117272e+19
2.890160e+00 2.990737e+19
3.040650e+00 2.868951e+19
3.198970e+00 2.755452e+19
3.365530e+00 2.646196e+19
3.540770e+00 2.541608e+19
3.725140e+00 2.443019e+19
3.919100e+00 2.349013e+19
4.123160e+00 2.261192e+19
4.337850e+00 2.175472e+19
4.563720e+00 2.093603e+19
4.801340e+00 2.017161e+19
5.051340e+00 1.943197e+19
5.314360e+00 1.872342e+19
5.591070e+00 1.805797e+19
5.882190e+00 1.741644e+19
6.188470e+00 1.680062e+19
6.510690e+00 1.621067e+19
6.849700e+00 1.564747e+19
7.206350e+00 1.510692e+19
7.581580e+00 1.458190e+19
7.976340e+00 1.406332e+19
8.391660e+00 1.358847e+19
8.828600e+00 1.310749e+19
9.288290e+00 1.266375e+19
9.771920e+00 1.222236e+19
1.028070e+01 1.178800e+19
1.081600e+01 1.138005e+19
1.137920e+01 1.097135e+19
1.197170e+01 1.059300e+19
1.259510e+01 1.021495e+19
1.325090e+01 9.846357e+18
1.394080e+01 9.482868e+18
1.466670e+01 9.133488e+18
1.543040e+01 8.788105e+18
1.623380e+01 8.468587e+18
1.707910e+01 8.141293e+18
1.796840e+01 7.815389e+18
1.890400e+01 7.515249e+18
1.988830e+01 7.205569e+18
2.092380e+01 6.924404e+18
2.201330e+01 6.629950e+18
2.315950e+01 6.357737e+18
2.436540e+01 6.083715e+18
2.563410e+01 5.823171e+18
2.696880e+01 5.565656e+18
2.837300e+01 5.313598e+18
2.985040e+01 5.075408e+18
3.140470e+01 4.839496e+18
3.303990e+01 4.610817e+18
3.476020e+01 4.386475e+18
3.657010e+01 4.172377e+18
3.847430e+01 3.965498e+18
4.047760e+01 3.761278e+18
4.258520e+01 3.562987e+18
4.480250e+01 3.375139e+18
4.713530e+01 3.193895e+18
4.958960e+01 3.015877e+18
5.217170e+01 2.843541e+18
5.488820e+01 2.682997e+18
5.774620e+01 2.526050e+18
6.075290e+01 2.375602e+18
6.391620e+01 2.230965e+18
6.724430e+01 2.093895e+18
7.074560e+01 1.962220e+18
7.442920e+01 1.835849e+18
7.830470e+01 1.713040e+18
8.238190e+01 1.597976e+18
8.667140e+01 1.489563e+18
9.118430e+01 1.382527e+18
9.593210e+01 1.283149e+18
1.009270e+02 1.188820e+18
1.061820e+02 1.101370e+18
1.117110e+02 1.017957e+18
1.175280e+02 9.389965e+17
1.236470e+02 8.664735e+17
1.300850e+02 7.972473e+17
1.368590e+02 7.333178e+17
1.439850e+02 6.722875e+17
1.514820e+02 6.169756e+17
1.593690e+02 5.647024e+17
1.676680e+02 5.152551e+17
1.763980e+02 4.702059e+17
1.855830e+02 4.275365e+17
1.952460e+02 3.892629e+17
2.054120e+02 3.528565e+17
2.161070e+02 3.200850e+17
2.273600e+02 2.894253e+17
2.391980e+02 2.615089e+17
2.516530e+02 2.360655e+17
2.647560e+02 2.125179e+17
2.785410e+02 1.916730e+17
2.930450e+02 1.724366e+17
3.083030e+02 1.549195e+17
3.243560e+02 1.390093e+17
3.412450e+02 1.247254e+17
3.590130e+02 1.116944e+17
3.777060e+02 9.984089e+16
3.973730e+02 8.934441e+16
4.180640e+02 7.978669e+16
4.398320e+02 7.126059e+16
4.627330e+02 6.347666e+16
4.868270e+02 5.647270e+16
5.121760e+02 5.017371e+16
5.388440e+02 4.443090e+16
5.669010e+02 3.939347e+16
5.964180e+02 3.477030e+16
6.274730e+02 3.073990e+16
6.601450e+02 2.712741e+16
6.945180e+02 2.400093e+16
7.306800e+02 2.128133e+16
7.687260e+02 1.888621e+16
8.087520e+02 1.681624e+16
8.508630e+02 1.495885e+16
8.951660e+02 1.333667e+16
9.417770e+02 1.186955e+16
9.908140e+02 1.056755e+16
1.042400e+03 9.423868e+15
1.096680e+03 8.420259e+15
1.153780e+03 7.523166e+15
1.213860e+03 6.709401e+15
1.277060e+03 5.962659e+15
1.343560e+03 5.250839e+15
1.413520e+03 4.580343e+15
1.487120e+03 3.952614e+15
1.564550e+03 3.383375e+15
1.646010e+03 2.881428e+15
1.731720e+03 2.450041e+15
1.821890e+03 2.076518e+15
1.916750e+03 1.745412e+15
2.016550e+03 1.454446e+15
2.121550e+03 1.188352e+15
2.232020e+03 9.512943e+14
2.348230e+03 7.468405e+14
2.470500e+03 5.821958e+14
2.599140e+03 4.628275e+14
2.734470e+03 3.785058e+14
2.876850e+03 3.232268e+14
3.026650e+03 1.120594e+14
3.184240e+03 7.405778e+13
3.350040e+03 4.575652e+13
3.524470e+03 2.755294e+13
3.707990e+03 1.655785e+13
3.901060e+03 1.005634e+13
4.104180e+03 5.979993e+12
4.317880e+03 3.497019e+12
4.542710e+03 1.928807e+12
4.779240e+03 9.647352e+11
5.028090e+03 4.622934e+11
5.289890e+03 2.110246e+11
5.565330e+03 9.685610e+10
5.855110e+03 4.542556e+10
6.159980e+03 1.893320e+10
6.480720e+03 7.321953e+09
6.818160e+03 2.680422e+09
7.173170e+03 9.287047e+08
7.546670e+03 3.243354e+08
7.939620e+03 1.009792e+08
8.353020e+03 2.884599e+07
8.787950e+03 8.092862e+06
9.245530e+03 1.955803e+06
9.726930e+03 4.925739e+05
1.023340e+04 1.060484e+05
1.076620e+04 1.964952e+04
1.132680e+04 4.011990e+03
1.191660e+04 6.245387e+02
1.253710e+04 9.009060e+01
1.318990e+04 1.382506e+01
1.387660e+04 1.476241e+00
1.459920e+04 1.782839e-01
1.535930e+04 1.747210e-02
1.615910e+04 1.306494e-03
1.700050e+04 1.140564e-04
1.788570e+04 7.162769e-06
1.881690e+04 4.396038e-07
1.979670e+04 2.092358e-08
2.082750e+04 7.709111e-10
2.191200e+04 3.570940e-11
2.305290e+04 1.006737e-12
2.425320e+04 2.667933e-14
2.551610e+04 5.735009e-16
2.684460e+04 9.442567e-18
2.824240e+04 1.429832e-19
2.971300e+04 1.743324e-21
3.126010e+04 1.381835e-23
3.288770e+04 1.078526e-25
3.460020e+04 5.974308e-28
3.640170e+04 2.374363e-30
3.829710e+04 7.775096e-33
4.029120e+04 1.860047e-35
4.238910e+04 2.920544e-38
4.459630e+04 4.039766e-41
4.691830e+04 3.073754e-44
4.936130e+04 2.082918e-47
5.193150e+04 7.638682e-51
5.463550e+04 2.163841e-54
5.748030e+04 3.577818e-58
6.047320e+04 4.787306e-62
6.362200e+04 3.004748e-66
6.693470e+04 1.210113e-70
7.041990e+04 3.233655e-75
7.408660e+04 4.501445e-80
7.794420e+04 3.470180e-85
8.200260e+04 2.117692e-90
8.627240e+04 3.940587e-96
9.076450e+04 4.882780e-102
9.549040e+04 4.979446e-107
1.004630e+05 7.292060e-115
1.056930e+05 6.352753e-119
1.111970e+05 5.187922e-129
1.169870e+05 1.169581e-136
1.230780e+05 9.998625e-145
1.294860e+05 7.594220e-149
1.362290e+05 4.818580e-162
1.433220e+05 1.952433e-171
1.507850e+05 2.784385e-181
1.586360e+05 1.216395e-191
1.668960e+05 1.641060e-202
1.755860e+05 5.382989e-214
1.847280e+05 8.455638e-219
1.943470e+05 9.775930e-239
2.044660e+05 6.439251e-244
2.151120e+05 1.330270e-256
2.263130e+05 3.466520e-269
2.380970e+05 3.858105e-277
2.504940e+05 5.229704e-280
2.635370e+05 1.108483e-288
2.772590e+05 1.993483e-297
2.916960e+05 0.000000e+00
3.068840e+05 0.000000e+00
3.228630e+05 0.000000e+00
3.396740e+05 0.000000e+00
3.573600e+05 0.000000e+00
3.759670e+05 0.000000e+00
3.955440e+05 0.000000e+00
4.161390e+05 0.000000e+00
4.378070e+05 0.000000e+00
4.606030e+05 0.000000e+00
4.845860e+05 0.000000e+00
5.098180e+05 0.000000e+00
5.363630e+05 0.000000e+00
5.642910e+05 0.000000e+00
