# E_gamma(MeV)   Spectrum
5.145440e-01 3.227828e+17
5.413360e-01 3.757352e+17
5.695230e-01 4.337970e+17
5.991770e-01 4.652162e+17
6.303750e-01 4.854547e+17
6.631980e-01 4.966858e+17
6.977300e-01 5.006916e+17
7.340600e-01 4.986390e+17
7.722810e-01 4.919220e+17
8.124930e-01 4.818133e+17
8.547980e-01 4.691792e+17
8.993070e-01 4.545885e+17
9.461320e-01 4.390808e+17
9.953960e-01 4.226458e+17
1.047230e+00 4.059048e+17
1.101750e+00 3.889487e+17
1.159120e+00 3.722678e+17
1.219470e+00 3.557664e+17
1.282970e+00 3.397644e+17
1.349770e+00 3.241017e+17
1.420050e+00 3.093676e+17
1.493990e+00 2.953749e+17
1.571780e+00 2.819972e+17
1.653620e+00 2.692399e+17
1.739730e+00 2.570614e+17
1.830310e+00 2.454068e+17
1.925610e+00 2.344462e+17
2.025880e+00 2.237575e+17
2.131360e+00 2.133375e+17
2.242340e+00 2.031650e+17
2.359100e+00 1.932770e+17
2.481930e+00 1.835487e+17
2.611160e+00 1.742743e+17
2.747120e+00 1.651268e+17
2.890160e+00 1.563497e+17
3.040650e+00 1.480641e+17
3.198970e+00 1.402868e+17
3.365530e+00 1.327785e+17
3.540770e+00 1.256926e+17
3.725140e+00 1.190270e+17
3.919100e+00 1.127225e+17
4.123160e+00 1.066748e+17
4.337850e+00 1.008643e+17
4.563720e+00 9.523769e+16
4.801340e+00 8.988689e+16
5.051340e+00 8.468815e+16
5.314360e+00 7.970082e+16
5.591070e+00 7.503051e+16
5.882190e+00 7.062857e+16
6.188470e+00 6.648702e+16
6.510690e+00 6.258441e+16
6.849700e+00 5.892372e+16
7.206350e+00 5.543601e+16
7.581580e+00 5.212766e+16
7.976340e+00 4.895871e+16
8.391660e+00 4.596143e+16
8.828600e+00 4.310493e+16
9.288290e+00 4.040553e+16
9.771920e+00 3.788543e+16
1.028070e+01 3.554151e+16
1.081600e+01 3.335542e+16
1.137920e+01 3.131343e+16
1.197170e+01 2.939374e+16
1.259510e+01 2.756962e+16
1.325090e+01 2.584082e+16
1.394080e+01 2.419281e+16
1.466670e+01 2.263518e+16
1.543040e+01 2.116762e+16
1.623380e+01 1.978289e+16
1.707910e+01 1.848383e+16
1.796840e+01 1.727723e+16
1.890400e+01 1.615552e+16
1.988830e+01 1.510335e+16
2.092380e+01 1.410010e+16
2.201330e+01 1.313978e+16
2.315950e+01 1.219464e+16
2.436540e+01 1.128819e+16
2.563410e+01 1.041367e+16
2.696880e+01 9.593662e+15
2.837300e+01 8.829364e+15
2.985040e+01 8.131998e+15
3.140470e+01 7.498739e+15
3.303990e+01 6.931079e+15
3.476020e+01 6.427065e+15
3.657010e+01 5.987968e+15
3.847430e+01 5.609356e+15
4.047760e+01 5.289377e+15
4.258520e+01 5.015377e+15
4.480250e+01 4.782483e+15
4.713530e+01 4.583788e+15
4.958960e+01 4.414175e+15
5.217170e+01 4.264915e+15
5.488820e+01 4.130710e+15
5.774620e+01 4.005846e+15
6.075290e+01 3.887540e+15
6.391620e+01 3.772578e+15
6.724430e+01 3.658845e+15
7.074560e+01 3.543715e+15
7.442920e+01 3.416818e+15
7.830470e+01 3.268546e+15
8.238190e+01 3.084331e+15
8.667140e+01 2.850745e+15
9.118430e+01 2.577798e+15
9.593210e+01 2.266073e+15
1.009270e+02 1.938602e+15
1.061820e+02 1.603789e+15
1.117110e+02 1.280617e+15
1.175280e+02 9.843001e+14
1.236470e+02 7.279552e+14
1.300850e+02 5.215660e+14
1.368590e+02 3.610287e+14
1.439850e+02 2.468714e+14
1.514820e+02 1.657799e+14
1.593690e+02 1.099455e+14
1.676680e+02 7.278591e+13
1.763980e+02 4.717470e+13
1.855830e+02 2.995831e+13
1.952460e+02 1.848747e+13
2.054120e+02 1.082950e+13
2.161070e+02 6.191096e+12
2.273600e+02 3.332380e+12
2.391980e+02 1.739246e+12
2.516530e+02 9.020493e+11
2.647560e+02 4.390422e+11
2.785410e+02 2.070259e+11
2.930450e+02 9.372948e+10
3.083030e+02 3.965003e+10
3.243560e+02 1.693431e+10
3.412450e+02 6.547550e+09
3.590130e+02 2.326167e+09
3.777060e+02 8.357213e+08
3.973730e+02 2.764049e+08
4.180640e+02 8.758034e+07
4.398320e+02 2.477200e+07
4.627330e+02 6.320633e+06
4.868270e+02 1.772235e+06
5.121760e+02 3.924800e+05
5.388440e+02 8.152096e+04
5.669010e+02 1.768175e+04
5.964180e+02 2.846492e+03
6.274730e+02 5.054012e+02
6.601450e+02 7.728111e+01
6.945180e+02 8.755066e+00
7.306800e+02 1.330138e+00
7.687260e+02 1.379049e-01
8.087520e+02 1.602088e-02
8.508630e+02 1.018515e-03
8.951660e+02 6.076074e-05
9.417770e+02 4.668236e-06
9.908140e+02 2.579997e-07
1.042400e+03 1.128947e-08
1.096680e+03 5.162163e-10
1.153780e+03 1.745305e-11
1.213860e+03 5.725527e-13
1.277060e+03 1.392966e-14
1.343560e+03 2.646178e-16
1.413520e+03 4.937917e-18
1.487120e+03 7.117853e-20
1.564550e+03 6.863920e-22
1.646010e+03 6.530526e-24
1.731720e+03 4.583053e-26
1.821890e+03 2.157857e-28
1.916750e+03 9.693627e-31
2.016550e+03 2.692533e-33
2.121550e+03 6.203666e-36
2.232020e+03 9.796363e-39
2.348230e+03 1.185283e-41
2.470500e+03 9.568188e-45
2.599140e+03 5.125748e-48
2.734470e+03 2.179808e-51
2.876850e+03 5.176770e-55
3.026650e+03 8.553414e-59
3.184240e+03 9.363191e-63
3.350040e+03 5.460482e-67
3.524470e+03 2.970964e-71
3.707990e+03 4.915394e-76
3.901060e+03 6.349328e-81
4.104180e+03 6.328080e-86
4.317880e+03 1.951389e-91
4.542710e+03 4.114242e-97
4.779240e+03 4.294973e-103
5.028090e+03 2.134988e-109
5.289890e+03 2.557660e-114
5.565330e+03 1.444479e-121
5.855110e+03 3.185230e-129
6.159980e+03 4.724851e-138
6.480720e+03 3.847669e-146
6.818160e+03 2.617882e-151
7.173170e+03 1.598468e-159
7.546670e+03 8.782964e-169
7.939620e+03 4.834586e-183
8.353020e+03 3.736421e-188
8.787950e+03 1.676905e-198
9.245530e+03 4.184653e-210
9.726930e+03 3.480687e-221
1.023340e+04 1.348871e-233
1.076620e+04 4.298087e-245
1.132680e+04 7.838656e-259
1.191660e+04 3.603102e-282
1.253710e+04 1.127166e-289
1.318990e+04 1.490168e-296
1.387660e+04 1.913610e-298
1.459920e+04 0.000000e+00
1.535930e+04 0.000000e+00
1.615910e+04 0.000000e+00
1.700050e+04 0.000000e+00
1.788570e+04 0.000000e+00
1.881690e+04 0.000000e+00
1.979670e+04 0.000000e+00
2.082750e+04 0.000000e+00
2.191200e+04 0.000000e+00
2.305290e+04 0.000000e+00
2.425320e+04 0.000000e+00
2.551610e+04 0.000000e+00
2.684460e+04 0.000000e+00
2.824240e+04 0.000000e+00
2.971300e+04 0.000000e+00
3.126010e+04 0.000000e+00
3.288770e+04 0.000000e+00
3.460020e+04 0.000000e+00
3.640170e+04 0.000000e+00
3.829710e+04 0.000000e+00
4.029120e+04 0.000000e+00
4.238910e+04 0.000000e+00
4.459630e+04 0.000000e+00
4.691830e+04 0.000000e+00
4.936130e+04 0.000000e+00
5.193150e+04 0.000000e+00
5.463550e+04 0.000000e+00
5.748030e+04 0.000000e+00
6.047320e+04 0.000000e+00
6.362200e+04 0.000000e+00
6.693470e+04 0.000000e+00
7.041990e+04 0.000000e+00
7.408660e+04 0.000000e+00
7.794420e+04 0.000000e+00
8.200260e+04 0.000000e+00
8.627240e+04 0.000000e+00
9.076450e+04 0.000000e+00
9.549040e+04 0.000000e+00
1.004630e+05 0.000000e+00
1.056930e+05 0.000000e+00
1.111970e+05 0.000000e+00
1.169870e+05 0.000000e+00
1.230780e+05 0.000000e+00
1.294860e+05 0.000000e+00
1.362290e+05 0.000000e+00
1.433220e+05 0.000000e+00
1.507850e+05 0.000000e+00
1.586360e+05 0.000000e+00
1.668960e+05 0.000000e+00
1.755860e+05 0.000000e+00
1.847280e+05 0.000000e+00
1.943470e+05 0.000000e+00
2.044660e+05 0.000000e+00
2.151120e+05 0.000000e+00
2.263130e+05 0.000000e+00
2.380970e+05 0.000000e+00
2.504940e+05 0.000000e+00
2.635370e+05 0.000000e+00
2.772590e+05 0.000000e+00
2.916960e+05 0.000000e+00
3.068840e+05 0.000000e+00
3.228630e+05 0.000000e+00
3.396740e+05 0.000000e+00
3.573600e+05 0.000000e+00
3.759670e+05 0.000000e+00
3.955440e+05 0.000000e+00
4.161390e+05 0.000000e+00
4.378070e+05 0.000000e+00
4.606030e+05 0.000000e+00
4.845860e+05 0.000000e+00
5.098180e+05 0.000000e+00
5.363630e+05 0.000000e+00
5.642910e+05 0.000000e+00
5.936730e+05 0.000000e+00
6.245840e+05 0.000000e+00
6.571060e+05 0.000000e+00
6.913200e+05 0.000000e+00
7.273170e+05 0.000000e+00
7.651870e+05 0.000000e+00
