# E_gamma(MeV)   Spectrum
5.145440e-01 7.025300e+18
5.413360e-01 8.242240e+18
5.695230e-01 9.706665e+18
5.991770e-01 1.112881e+19
6.303750e-01 1.222081e+19
6.631980e-01 1.289827e+19
6.977300e-01 1.324617e+19
7.340600e-01 1.333835e+19
7.722810e-01 1.324663e+19
8.124930e-01 1.301516e+19
8.547980e-01 1.269114e+19
8.993070e-01 1.230030e+19
9.461320e-01 1.186196e+19
9.953960e-01 1.139195e+19
1.047230e+00 1.090449e+19
1.101750e+00 1.041140e+19
1.159120e+00 9.917133e+18
1.219470e+00 9.427293e+18
1.282970e+00 8.944952e+18
1.349770e+00 8.476291e+18
1.420050e+00 8.021822e+18
1.493990e+00 7.582080e+18
1.571780e+00 7.160036e+18
1.653620e+00 6.753377e+18
1.739730e+00 6.365851e+18
1.830310e+00 5.994936e+18
1.925610e+00 5.642478e+18
2.025880e+00 5.306637e+18
2.131360e+00 4.987725e+18
2.242340e+00 4.685990e+18
2.359100e+00 4.399414e+18
2.481930e+00 4.129550e+18
2.611160e+00 3.874432e+18
2.747120e+00 3.633827e+18
2.890160e+00 3.407596e+18
3.040650e+00 3.194610e+18
3.198970e+00 2.995723e+18
3.365530e+00 2.808692e+18
3.540770e+00 2.634232e+18
3.725140e+00 2.471675e+18
3.919100e+00 2.320832e+18
4.123160e+00 2.181260e+18
4.337850e+00 2.052939e+18
4.563720e+00 1.935562e+18
4.801340e+00 1.830186e+18
5.051340e+00 1.734924e+18
5.314360e+00 1.650366e+18
5.591070e+00 1.576706e+18
5.882190e+00 1.513614e+18
6.188470e+00 1.461385e+18
6.510690e+00 1.419369e+18
6.849700e+00 1.387004e+18
7.206350e+00 1.363530e+18
7.581580e+00 1.347271e+18
7.976340e+00 1.336386e+18
8.391660e+00 1.328135e+18
8.828600e+00 1.320180e+18
9.288290e+00 1.308235e+18
9.771920e+00 1.290669e+18
1.028070e+01 1.265804e+18
1.081600e+01 1.229571e+18
1.137920e+01 1.183442e+18
1.197170e+01 1.127719e+18
1.259510e+01 1.062762e+18
1.325090e+01 9.912561e+17
1.394080e+01 9.153314e+17
1.466670e+01 8.366537e+17
1.543040e+01 7.580899e+17
1.623380e+01 6.814626e+17
1.707910e+01 6.077563e+17
1.796840e+01 5.375356e+17
1.890400e+01 4.730176e+17
1.988830e+01 4.133485e+17
2.092380e+01 3.600140e+17
2.201330e+01 3.120388e+17
2.315950e+01 2.680672e+17
2.436540e+01 2.291576e+17
2.563410e+01 1.941931e+17
2.696880e+01 1.644514e+17
2.837300e+01 1.395604e+17
2.985040e+01 1.188996e+17
3.140470e+01 1.017303e+17
3.303990e+01 8.695979e+16
3.476020e+01 7.438329e+16
3.657010e+01 6.351522e+16
3.847430e+01 5.394451e+16
4.047760e+01 4.562501e+16
4.258520e+01 3.818507e+16
4.480250e+01 3.164711e+16
4.713530e+01 2.616529e+16
