# E_gamma(MeV)   Spectrum
5.145440e-01 2.000921e+20
5.413360e-01 2.416705e+20
5.695230e-01 2.855142e+20
5.991770e-01 3.002368e+20
6.303750e-01 3.091735e+20
6.631980e-01 3.136902e+20
6.977300e-01 3.145384e+20
7.340600e-01 3.125517e+20
7.722810e-01 3.080967e+20
8.124930e-01 3.023706e+20
8.547980e-01 2.954661e+20
8.993070e-01 2.875290e+20
9.461320e-01 2.792497e+20
9.953960e-01 2.706031e+20
1.047230e+00 2.619540e+20
1.101750e+00 2.530322e+20
1.159120e+00 2.443663e+20
1.219470e+00 2.357492e+20
1.282970e+00 2.274115e+20
1.349770e+00 2.189903e+20
1.420050e+00 2.110463e+20
1.493990e+00 2.033267e+20
1.571780e+00 1.956720e+20
1.653620e+00 1.884510e+20
1.739730e+00 1.812896e+20
1.830310e+00 1.745369e+20
1.925610e+00 1.679102e+20
2.025880e+00 1.616103e+20
2.131360e+00 1.553771e+20
2.242340e+00 1.494455e+20
2.359100e+00 1.437142e+20
2.481930e+00 1.381695e+20
2.611160e+00 1.328921e+20
2.747120e+00 1.275719e+20
2.890160e+00 1.226172e+20
3.040650e+00 1.176701e+20
3.198970e+00 1.131137e+20
3.365530e+00 1.084898e+20
3.540770e+00 1.040420e+20
3.725140e+00 9.977046e+19
3.919100e+00 9.562360e+19
4.123160e+00 9.162186e+19
4.337850e+00 8.777135e+19
4.563720e+00 8.395844e+19
4.801340e+00 8.031872e+19
5.051340e+00 7.678800e+19
5.314360e+00 7.331310e+19
5.591070e+00 7.009068e+19
5.882190e+00 6.681159e+19
6.188470e+00 6.370652e+19
6.510690e+00 6.070470e+19
6.849700e+00 5.779750e+19
7.206350e+00 5.500506e+19
7.581580e+00 5.227662e+19
7.976340e+00 4.963441e+19
8.391660e+00 4.716543e+19
8.828600e+00 4.468677e+19
9.288290e+00 4.237086e+19
9.771920e+00 4.011233e+19
1.028070e+01 3.794604e+19
1.081600e+01 3.587330e+19
1.137920e+01 3.384943e+19
1.197170e+01 3.196502e+19
1.259510e+01 3.013882e+19
1.325090e+01 2.838249e+19
1.394080e+01 2.670703e+19
1.466670e+01 2.511244e+19
1.543040e+01 2.360133e+19
1.623380e+01 2.216148e+19
1.707910e+01 2.077669e+19
1.796840e+01 1.946661e+19
1.890400e+01 1.823782e+19
1.988830e+01 1.705928e+19
2.092380e+01 1.596288e+19
2.201330e+01 1.490723e+19
2.315950e+01 1.391707e+19
2.436540e+01 1.298561e+19
2.563410e+01 1.210957e+19
2.696880e+01 1.128638e+19
2.837300e+01 1.050190e+19
2.985040e+01 9.778272e+18
3.140470e+01 9.094513e+18
3.303990e+01 8.458190e+18
3.476020e+01 7.856834e+18
3.657010e+01 7.299754e+18
3.847430e+01 6.781375e+18
4.047760e+01 6.294577e+18
4.258520e+01 5.844779e+18
4.480250e+01 5.425661e+18
4.713530e+01 5.040181e+18
4.958960e+01 4.681532e+18
5.217170e+01 4.352078e+18
5.488820e+01 4.052775e+18
5.774620e+01 3.777241e+18
6.075290e+01 3.525801e+18
6.391620e+01 3.297975e+18
6.724430e+01 3.092864e+18
7.074560e+01 2.908359e+18
7.442920e+01 2.740077e+18
7.830470e+01 2.586730e+18
8.238190e+01 2.445490e+18
8.667140e+01 2.314660e+18
9.118430e+01 2.188871e+18
9.593210e+01 2.067352e+18
1.009270e+02 1.946679e+18
1.061820e+02 1.827509e+18
1.117110e+02 1.706766e+18
1.175280e+02 1.585520e+18
1.236470e+02 1.465127e+18
1.300850e+02 1.343669e+18
1.368590e+02 1.224204e+18
1.439850e+02 1.107557e+18
1.514820e+02 9.945301e+17
1.593690e+02 8.860335e+17
1.676680e+02 7.825097e+17
1.763980e+02 6.853513e+17
1.855830e+02 5.945847e+17
1.952460e+02 5.134602e+17
2.054120e+02 4.403757e+17
2.161070e+02 3.768978e+17
2.273600e+02 3.213003e+17
2.391980e+02 2.725274e+17
2.516530e+02 2.309371e+17
2.647560e+02 1.951972e+17
2.785410e+02 1.656048e+17
2.930450e+02 1.410991e+17
3.083030e+02 1.206185e+17
3.243560e+02 1.035874e+17
3.412450e+02 8.905826e+16
3.590130e+02 7.688484e+16
3.777060e+02 6.655764e+16
3.973730e+02 5.760440e+16
4.180640e+02 4.975286e+16
4.398320e+02 4.267823e+16
4.627330e+02 3.623585e+16
4.868270e+02 3.056916e+16
5.121760e+02 2.555232e+16
5.388440e+02 2.130818e+16
5.669010e+02 1.776734e+16
5.964180e+02 1.488131e+16
6.274730e+02 1.258160e+16
6.601450e+02 1.071882e+16
6.945180e+02 9.266482e+15
7.306800e+02 8.077014e+15
7.687260e+02 7.049401e+15
8.087520e+02 6.116578e+15
8.508630e+02 5.217814e+15
8.951660e+02 4.354998e+15
