# E_gamma(MeV)   Spectrum
5.145440e-01 1.202769e+19
5.413360e-01 1.408411e+19
5.695230e-01 1.647649e+19
5.991770e-01 1.871430e+19
6.303750e-01 2.021606e+19
6.631980e-01 2.106085e+19
6.977300e-01 2.143506e+19
7.340600e-01 2.144695e+19
7.722810e-01 2.120482e+19
8.124930e-01 2.076800e+19
8.547980e-01 2.020561e+19
8.993070e-01 1.955477e+19
9.461320e-01 1.883952e+19
9.953960e-01 1.807964e+19
1.047230e+00 1.730208e+19
1.101750e+00 1.651939e+19
1.159120e+00 1.573616e+19
1.219470e+00 1.496294e+19
1.282970e+00 1.420026e+19
1.349770e+00 1.346491e+19
1.420050e+00 1.274933e+19
1.493990e+00 1.205786e+19
1.571780e+00 1.139435e+19
1.653620e+00 1.075513e+19
1.739730e+00 1.014621e+19
1.830310e+00 9.562079e+18
1.925610e+00 9.006983e+18
2.025880e+00 8.478046e+18
2.131360e+00 7.975180e+18
2.242340e+00 7.499551e+18
2.359100e+00 7.044898e+18
2.481930e+00 6.618108e+18
2.611160e+00 6.212601e+18
2.747120e+00 5.830035e+18
2.890160e+00 5.469198e+18
3.040650e+00 5.127661e+18
3.198970e+00 4.806403e+18
3.365530e+00 4.503039e+18
3.540770e+00 4.217823e+18
3.725140e+00 3.948934e+18
3.919100e+00 3.696534e+18
4.123160e+00 3.458655e+18
4.337850e+00 3.235438e+18
4.563720e+00 3.025621e+18
4.801340e+00 2.829587e+18
5.051340e+00 2.645743e+18
5.314360e+00 2.473423e+18
5.591070e+00 2.312417e+18
5.882190e+00 2.161976e+18
6.188470e+00 2.022161e+18
6.510690e+00 1.892608e+18
6.849700e+00 1.772427e+18
7.206350e+00 1.662317e+18
7.581580e+00 1.561094e+18
7.976340e+00 1.469543e+18
8.391660e+00 1.387024e+18
8.828600e+00 1.314141e+18
9.288290e+00 1.251132e+18
9.771920e+00 1.197850e+18
1.028070e+01 1.156510e+18
1.081600e+01 1.124459e+18
1.137920e+01 1.103256e+18
1.197170e+01 1.093635e+18
1.259510e+01 1.095164e+18
1.325090e+01 1.107846e+18
1.394080e+01 1.130418e+18
1.466670e+01 1.160953e+18
1.543040e+01 1.196272e+18
1.623380e+01 1.231049e+18
1.707910e+01 1.260516e+18
1.796840e+01 1.276434e+18
1.890400e+01 1.273536e+18
1.988830e+01 1.244084e+18
2.092380e+01 1.182173e+18
2.201330e+01 1.087448e+18
2.315950e+01 9.588565e+17
2.436540e+01 8.111888e+17
2.563410e+01 6.563056e+17
2.696880e+01 5.115491e+17
2.837300e+01 3.847432e+17
2.985040e+01 2.810405e+17
3.140470e+01 2.008169e+17
3.303990e+01 1.396003e+17
3.476020e+01 9.663694e+16
3.657010e+01 6.663555e+16
3.847430e+01 4.583655e+16
4.047760e+01 3.149730e+16
4.258520e+01 2.064803e+16
4.480250e+01 1.269968e+16
4.713530e+01 7.370830e+15
4.958960e+01 4.019329e+15
5.217170e+01 2.189351e+15
5.488820e+01 1.194889e+15
5.774620e+01 6.540935e+14
6.075290e+01 3.582986e+14
6.391620e+01 1.776600e+14
6.724430e+01 8.193324e+13
7.074560e+01 3.672550e+13
7.442920e+01 1.572396e+13
7.830470e+01 6.843664e+12
8.238190e+01 2.736523e+12
8.667140e+01 1.011060e+12
9.118430e+01 3.956814e+11
9.593210e+01 1.392982e+11
1.009270e+02 4.483080e+10
1.061820e+02 1.399367e+10
1.117110e+02 4.101356e+09
1.175280e+02 1.234466e+09
1.236470e+02 3.183943e+08
1.300850e+02 7.369189e+07
1.368590e+02 1.850117e+07
1.439850e+02 3.926569e+06
1.514820e+02 7.930888e+05
1.593690e+02 1.498099e+05
1.676680e+02 2.414500e+04
1.763980e+02 4.180056e+03
1.855830e+02 5.825393e+02
1.952460e+02 7.067092e+01
2.054120e+02 9.869068e+00
2.161070e+02 9.017080e-01
2.273600e+02 9.395604e-02
2.391980e+02 8.987510e-03
2.516530e+02 5.404937e-04
2.647560e+02 3.867895e-05
2.785410e+02 2.277590e-06
2.930450e+02 9.885546e-08
3.083030e+02 5.168124e-09
3.243560e+02 1.674222e-10
3.412450e+02 5.795513e-12
3.590130e+02 1.607704e-13
3.777060e+02 3.459513e-15
3.973730e+02 6.197118e-17
4.180640e+02 9.542524e-19
4.398320e+02 1.278191e-20
4.627330e+02 1.110229e-22
4.868270e+02 8.639761e-25
5.121760e+02 5.538672e-27
5.388440e+02 2.372623e-29
5.669010e+02 8.038086e-32
5.964180e+02 2.322026e-34
6.274730e+02 3.784080e-37
6.601450e+02 5.874835e-40
6.945180e+02 5.302097e-43
7.306800e+02 3.747763e-46
7.687260e+02 1.689997e-49
8.087520e+02 5.767580e-53
8.508630e+02 1.082623e-56
8.951660e+02 1.638952e-60
9.417770e+02 1.122390e-64
9.908140e+02 6.087567e-69
1.042400e+03 6.632657e-73
1.096680e+03 5.207749e-78
1.153780e+03 2.120302e-82
1.213860e+03 1.947212e-88
1.277060e+03 1.073741e-92
1.343560e+03 8.128828e-100
1.413520e+03 6.185347e-106
1.487120e+03 2.156740e-112
1.564550e+03 3.720676e-119
1.646010e+03 6.888716e-124
1.731720e+03 9.424619e-134
1.821890e+03 1.249175e-141
1.916750e+03 5.822595e-150
2.016550e+03 6.060984e-155
2.121550e+03 1.667052e-164
2.232020e+03 1.517036e-177
2.348230e+03 6.005089e-182
2.470500e+03 3.695380e-192
2.599140e+03 6.791280e-203
2.734470e+03 3.451359e-214
2.876850e+03 5.183949e-226
3.026650e+03 2.667349e-239
3.184240e+03 5.678719e-243
3.350040e+03 3.839535e-252
3.524470e+03 3.844769e-261
3.707990e+03 5.457575e-278
3.901060e+03 7.557521e-289
4.104180e+03 6.519048e-293
4.317880e+03 0.000000e+00
4.542710e+03 0.000000e+00
4.779240e+03 0.000000e+00
5.028090e+03 0.000000e+00
5.289890e+03 0.000000e+00
5.565330e+03 0.000000e+00
5.855110e+03 0.000000e+00
6.159980e+03 0.000000e+00
6.480720e+03 0.000000e+00
6.818160e+03 0.000000e+00
7.173170e+03 0.000000e+00
7.546670e+03 0.000000e+00
7.939620e+03 0.000000e+00
8.353020e+03 0.000000e+00
8.787950e+03 0.000000e+00
9.245530e+03 0.000000e+00
9.726930e+03 0.000000e+00
1.023340e+04 0.000000e+00
1.076620e+04 0.000000e+00
1.132680e+04 0.000000e+00
1.191660e+04 0.000000e+00
1.253710e+04 0.000000e+00
1.318990e+04 0.000000e+00
1.387660e+04 0.000000e+00
1.459920e+04 0.000000e+00
1.535930e+04 0.000000e+00
1.615910e+04 0.000000e+00
1.700050e+04 0.000000e+00
1.788570e+04 0.000000e+00
1.881690e+04 0.000000e+00
1.979670e+04 0.000000e+00
2.082750e+04 0.000000e+00
2.191200e+04 0.000000e+00
2.305290e+04 0.000000e+00
2.425320e+04 0.000000e+00
2.551610e+04 0.000000e+00
2.684460e+04 0.000000e+00
2.824240e+04 0.000000e+00
2.971300e+04 0.000000e+00
3.126010e+04 0.000000e+00
3.288770e+04 0.000000e+00
3.460020e+04 0.000000e+00
3.640170e+04 0.000000e+00
3.829710e+04 0.000000e+00
4.029120e+04 0.000000e+00
4.238910e+04 0.000000e+00
4.459630e+04 0.000000e+00
4.691830e+04 0.000000e+00
4.936130e+04 0.000000e+00
5.193150e+04 0.000000e+00
5.463550e+04 0.000000e+00
5.748030e+04 0.000000e+00
6.047320e+04 0.000000e+00
6.362200e+04 0.000000e+00
6.693470e+04 0.000000e+00
7.041990e+04 0.000000e+00
7.408660e+04 0.000000e+00
7.794420e+04 0.000000e+00
8.200260e+04 0.000000e+00
8.627240e+04 0.000000e+00
9.076450e+04 0.000000e+00
9.549040e+04 0.000000e+00
1.004630e+05 0.000000e+00
1.056930e+05 0.000000e+00
1.111970e+05 0.000000e+00
1.169870e+05 0.000000e+00
1.230780e+05 0.000000e+00
1.294860e+05 0.000000e+00
1.362290e+05 0.000000e+00
1.433220e+05 0.000000e+00
1.507850e+05 0.000000e+00
1.586360e+05 0.000000e+00
1.668960e+05 0.000000e+00
1.755860e+05 0.000000e+00
1.847280e+05 0.000000e+00
1.943470e+05 0.000000e+00
2.044660e+05 0.000000e+00
2.151120e+05 0.000000e+00
2.263130e+05 0.000000e+00
2.380970e+05 0.000000e+00
2.504940e+05 0.000000e+00
2.635370e+05 0.000000e+00
2.772590e+05 0.000000e+00
2.916960e+05 0.000000e+00
3.068840e+05 0.000000e+00
3.228630e+05 0.000000e+00
3.396740e+05 0.000000e+00
3.573600e+05 0.000000e+00
3.759670e+05 0.000000e+00
3.955440e+05 0.000000e+00
4.161390e+05 0.000000e+00
4.378070e+05 0.000000e+00
4.606030e+05 0.000000e+00
4.845860e+05 0.000000e+00
5.098180e+05 0.000000e+00
5.363630e+05 0.000000e+00
5.642910e+05 0.000000e+00
5.936730e+05 0.000000e+00
6.245840e+05 0.000000e+00
6.571060e+05 0.000000e+00
6.913200e+05 0.000000e+00
7.273170e+05 0.000000e+00
7.651870e+05 0.000000e+00
8.050290e+05 0.000000e+00
8.469460e+05 0.000000e+00
8.910450e+05 0.000000e+00
9.374410e+05 0.000000e+00
9.862520e+05 0.000000e+00
1.037610e+06 0.000000e+00
1.091630e+06 0.000000e+00
1.148470e+06 0.000000e+00
1.208270e+06 0.000000e+00
1.271180e+06 0.000000e+00
1.337370e+06 0.000000e+00
1.407010e+06 0.000000e+00
1.480270e+06 0.000000e+00
1.557340e+06 0.000000e+00
1.638430e+06 0.000000e+00
1.723740e+06 0.000000e+00
1.813500e+06 0.000000e+00
1.907920e+06 0.000000e+00
