# E_gamma(MeV)   Spectrum
5.145440e-01 2.356241e+18
5.413360e-01 2.762313e+18
5.695230e-01 3.330516e+18
5.991770e-01 4.014292e+18
6.303750e-01 4.691894e+18
6.631980e-01 5.193989e+18
6.977300e-01 5.505300e+18
7.340600e-01 5.661013e+18
7.722810e-01 5.702675e+18
8.124930e-01 5.656047e+18
8.547980e-01 5.549051e+18
8.993070e-01 5.397544e+18
9.461320e-01 5.213258e+18
9.953960e-01 5.009307e+18
1.047230e+00 4.790801e+18
1.101750e+00 4.566408e+18
1.159120e+00 4.337826e+18
1.219470e+00 4.110942e+18
1.282970e+00 3.886654e+18
1.349770e+00 3.667627e+18
1.420050e+00 3.455189e+18
1.493990e+00 3.249646e+18
1.571780e+00 3.052746e+18
1.653620e+00 2.863869e+18
1.739730e+00 2.684502e+18
1.830310e+00 2.513624e+18
1.925610e+00 2.352075e+18
2.025880e+00 2.199195e+18
2.131360e+00 2.055300e+18
2.242340e+00 1.920345e+18
2.359100e+00 1.794172e+18
2.481930e+00 1.676508e+18
2.611160e+00 1.567073e+18
2.747120e+00 1.465916e+18
2.890160e+00 1.373217e+18
3.040650e+00 1.288439e+18
3.198970e+00 1.212909e+18
3.365530e+00 1.144659e+18
3.540770e+00 1.085110e+18
3.725140e+00 1.034025e+18
3.919100e+00 9.917935e+17
4.123160e+00 9.587717e+17
4.337850e+00 9.352015e+17
4.563720e+00 9.215875e+17
4.801340e+00 9.194846e+17
5.051340e+00 9.269715e+17
5.314360e+00 9.455312e+17
5.591070e+00 9.750072e+17
5.882190e+00 1.014855e+18
6.188470e+00 1.064237e+18
6.510690e+00 1.120298e+18
6.849700e+00 1.179859e+18
7.206350e+00 1.236538e+18
7.581580e+00 1.283658e+18
7.976340e+00 1.311955e+18
8.391660e+00 1.311229e+18
8.828600e+00 1.277005e+18
9.288290e+00 1.201796e+18
9.771920e+00 1.091975e+18
1.028070e+01 9.534929e+17
1.081600e+01 7.990871e+17
1.137920e+01 6.427600e+17
1.197170e+01 4.968734e+17
1.259510e+01 3.707094e+17
1.325090e+01 2.665752e+17
1.394080e+01 1.878948e+17
1.466670e+01 1.291619e+17
1.543040e+01 8.748749e+16
1.623380e+01 5.901105e+16
1.707910e+01 3.910055e+16
1.796840e+01 2.562483e+16
1.890400e+01 1.643683e+16
1.988830e+01 1.017032e+16
2.092380e+01 6.194055e+15
2.201330e+01 3.584557e+15
2.315950e+01 1.989711e+15
2.436540e+01 1.087178e+15
2.563410e+01 5.654568e+14
2.696880e+01 2.887420e+14
2.837300e+01 1.439983e+14
2.985040e+01 6.858476e+13
3.140470e+01 3.222751e+13
3.303990e+01 1.408551e+13
3.476020e+01 5.869993e+12
3.657010e+01 2.479179e+12
3.847430e+01 9.832332e+11
4.047760e+01 3.724126e+11
4.258520e+01 1.335823e+11
4.480250e+01 4.511300e+10
4.713530e+01 1.628616e+10
4.958960e+01 5.192401e+09
5.217170e+01 1.469325e+09
5.488820e+01 4.537415e+08
5.774620e+01 1.284989e+08
6.075290e+01 3.267097e+07
6.391620e+01 8.333007e+06
6.724430e+01 1.890404e+06
7.074560e+01 4.319441e+05
7.442920e+01 8.786107e+04
7.830470e+01 1.558189e+04
8.238190e+01 2.950807e+03
8.667140e+01 4.540829e+02
9.118430e+01 6.249883e+01
9.593210e+01 9.087878e+00
1.009270e+02 9.791890e-01
1.061820e+02 1.124281e-01
1.117110e+02 1.118903e-02
1.175280e+02 9.754967e-04
1.236470e+02 6.394817e-05
1.300850e+02 3.589501e-06
1.368590e+02 2.144586e-07
1.439850e+02 1.252695e-08
