# E_gamma(MeV)   Spectrum
5.145440e-01 2.314773e+18
5.413360e-01 2.713440e+18
5.695230e-01 3.273111e+18
5.991770e-01 3.947892e+18
6.303750e-01 4.619531e+18
6.631980e-01 5.119008e+18
6.977300e-01 5.429479e+18
7.340600e-01 5.585566e+18
7.722810e-01 5.628405e+18
8.124930e-01 5.583572e+18
8.547980e-01 5.478756e+18
8.993070e-01 5.329677e+18
9.461320e-01 5.147998e+18
9.953960e-01 4.946767e+18
1.047230e+00 4.731037e+18
1.101750e+00 4.509393e+18
1.159120e+00 4.283559e+18
1.219470e+00 4.059381e+18
1.282970e+00 3.837723e+18
1.349770e+00 3.621251e+18
1.420050e+00 3.411281e+18
1.493990e+00 3.208127e+18
1.571780e+00 3.013517e+18
1.653620e+00 2.826833e+18
1.739730e+00 2.649561e+18
1.830310e+00 2.480693e+18
1.925610e+00 2.321058e+18
2.025880e+00 2.170003e+18
2.131360e+00 2.027857e+18
2.242340e+00 1.894565e+18
2.359100e+00 1.769995e+18
2.481930e+00 1.653856e+18
2.611160e+00 1.545893e+18
2.747120e+00 1.446149e+18
2.890160e+00 1.354818e+18
3.040650e+00 1.271367e+18
3.198970e+00 1.197135e+18
3.365530e+00 1.130160e+18
3.540770e+00 1.071866e+18
3.725140e+00 1.022040e+18
3.919100e+00 9.810806e+17
4.123160e+00 9.493443e+17
4.337850e+00 9.271113e+17
4.563720e+00 9.148912e+17
4.801340e+00 9.142873e+17
5.051340e+00 9.233860e+17
5.314360e+00 9.437171e+17
5.591070e+00 9.751779e+17
5.882190e+00 1.017249e+18
6.188470e+00 1.069097e+18
6.510690e+00 1.127805e+18
6.849700e+00 1.189980e+18
7.206350e+00 1.248760e+18
7.581580e+00 1.296873e+18
7.976340e+00 1.324400e+18
8.391660e+00 1.320426e+18
8.828600e+00 1.280687e+18
9.288290e+00 1.198244e+18
9.771920e+00 1.080706e+18
1.028070e+01 9.353592e+17
1.081600e+01 7.763577e+17
1.137920e+01 6.180531e+17
1.197170e+01 4.727981e+17
1.259510e+01 3.492691e+17
1.325090e+01 2.487839e+17
1.394080e+01 1.739428e+17
1.466670e+01 1.187586e+17
1.543040e+01 8.000981e+16
1.623380e+01 5.373306e+16
1.707910e+01 3.544946e+16
1.796840e+01 2.309932e+16
1.890400e+01 1.469162e+16
1.988830e+01 8.982130e+15
2.092380e+01 5.399955e+15
2.201330e+01 3.078252e+15
2.315950e+01 1.681349e+15
2.436540e+01 9.025826e+14
2.563410e+01 4.600131e+14
2.696880e+01 2.299461e+14
2.837300e+01 1.119102e+14
2.985040e+01 5.190558e+13
3.140470e+01 2.379393e+13
3.303990e+01 1.000575e+13
3.476020e+01 3.955309e+12
3.657010e+01 1.573950e+12
3.847430e+01 5.894859e+11
4.047760e+01 2.133573e+11
4.258520e+01 7.007284e+10
4.480250e+01 2.081367e+10
4.713530e+01 6.837253e+09
4.958960e+01 1.916779e+09
5.217170e+01 4.725275e+08
5.488820e+01 1.245536e+08
5.774620e+01 2.825794e+07
6.075290e+01 6.012994e+06
6.391620e+01 1.226154e+06
6.724430e+01 2.070982e+05
7.074560e+01 3.805077e+04
7.442920e+01 5.761265e+03
7.830470e+01 7.594495e+02
8.238190e+01 1.079088e+02
8.667140e+01 1.119674e+01
9.118430e+01 1.221321e+00
9.593210e+01 1.264203e-01
1.009270e+02 1.033204e-02
1.061820e+02 6.650270e-04
1.117110e+02 4.060574e-05
1.175280e+02 2.336652e-06
1.236470e+02 1.180904e-07
1.300850e+02 4.713563e-09
1.368590e+02 1.611103e-10
1.439850e+02 5.487623e-12
1.514820e+02 1.337142e-13
1.593690e+02 2.673306e-15
1.676680e+02 5.304537e-17
1.763980e+02 7.936486e-19
1.855830e+02 8.362731e-21
1.952460e+02 8.389936e-23
2.054120e+02 6.324684e-25
2.161070e+02 3.457429e-27
2.273600e+02 1.557711e-29
2.391980e+02 5.286692e-32
2.516530e+02 1.256844e-34
2.647560e+02 2.402418e-37
2.785410e+02 3.101585e-40
2.930450e+02 2.968170e-43
3.083030e+02 1.826979e-46
3.243560e+02 9.005475e-50
3.412450e+02 2.352004e-53
3.590130e+02 5.115075e-57
3.777060e+02 7.127912e-61
3.973730e+02 5.091364e-65
4.180640e+02 2.415023e-69
4.398320e+02 6.419368e-74
4.627330e+02 1.655973e-78
4.868270e+02 1.583707e-83
5.121760e+02 5.921092e-89
5.388440e+02 1.595166e-94
5.669010e+02 2.192670e-100
5.964180e+02 3.827712e-105
6.274730e+02 1.109275e-111
6.601450e+02 8.765667e-120
6.945180e+02 5.900478e-127
7.306800e+02 6.463953e-132
7.687260e+02 1.978637e-142
8.087520e+02 2.407375e-147
