# E_gamma(MeV)   Spectrum
5.145440e-01 3.543283e+18
5.413360e-01 4.149809e+18
5.695230e-01 4.934764e+18
5.991770e-01 5.785411e+18
6.303750e-01 6.533031e+18
6.631980e-01 7.057649e+18
6.977300e-01 7.366975e+18
7.340600e-01 7.501105e+18
7.722810e-01 7.506692e+18
8.124930e-01 7.413452e+18
8.547980e-01 7.253011e+18
8.993070e-01 7.043705e+18
9.461320e-01 6.798786e+18
9.953960e-01 6.531183e+18
1.047230e+00 6.249063e+18
1.101750e+00 5.961163e+18
1.159120e+00 5.670010e+18
1.219470e+00 5.381168e+18
1.282970e+00 5.096069e+18
1.349770e+00 4.818559e+18
1.420050e+00 4.549349e+18
1.493990e+00 4.289146e+18
1.571780e+00 4.039706e+18
1.653620e+00 3.800217e+18
1.739730e+00 3.572621e+18
1.830310e+00 3.355729e+18
1.925610e+00 3.150497e+18
2.025880e+00 2.956121e+18
2.131360e+00 2.772913e+18
2.242340e+00 2.600999e+18
2.359100e+00 2.439771e+18
2.481930e+00 2.289523e+18
2.611160e+00 2.149498e+18
2.747120e+00 2.019890e+18
2.890160e+00 1.900753e+18
3.040650e+00 1.791515e+18
3.198970e+00 1.693377e+18
3.365530e+00 1.604337e+18
3.540770e+00 1.525422e+18
3.725140e+00 1.456227e+18
3.919100e+00 1.396663e+18
4.123160e+00 1.346455e+18
4.337850e+00 1.305104e+18
4.563720e+00 1.272248e+18
4.801340e+00 1.248467e+18
5.051340e+00 1.231171e+18
5.314360e+00 1.220683e+18
5.591070e+00 1.215841e+18
5.882190e+00 1.214804e+18
6.188470e+00 1.215225e+18
6.510690e+00 1.213411e+18
6.849700e+00 1.206711e+18
7.206350e+00 1.191547e+18
7.581580e+00 1.166846e+18
7.976340e+00 1.131210e+18
8.391660e+00 1.084539e+18
8.828600e+00 1.029052e+18
9.288290e+00 9.648712e+17
9.771920e+00 8.959004e+17
1.028070e+01 8.234478e+17
1.081600e+01 7.491432e+17
1.137920e+01 6.754255e+17
1.197170e+01 6.039023e+17
1.259510e+01 5.358184e+17
1.325090e+01 4.717148e+17
1.394080e+01 4.131684e+17
1.466670e+01 3.594384e+17
1.543040e+01 3.111995e+17
1.623380e+01 2.687157e+17
1.707910e+01 2.312297e+17
1.796840e+01 1.984741e+17
1.890400e+01 1.704995e+17
1.988830e+01 1.460543e+17
2.092380e+01 1.251275e+17
2.201330e+01 1.067449e+17
2.315950e+01 9.007077e+16
2.436540e+01 7.534558e+16
2.563410e+01 6.211626e+16
2.696880e+01 5.092338e+16
2.837300e+01 4.170886e+16
2.985040e+01 3.428717e+16
3.140470e+01 2.839992e+16
3.303990e+01 2.360198e+16
3.476020e+01 1.976209e+16
3.657010e+01 1.661629e+16
3.847430e+01 1.395587e+16
4.047760e+01 1.169962e+16
4.258520e+01 9.696039e+15
4.480250e+01 7.934543e+15
4.713530e+01 6.458390e+15
4.958960e+01 5.228739e+15
5.217170e+01 4.269195e+15
5.488820e+01 3.524786e+15
5.774620e+01 2.965391e+15
6.075290e+01 2.555150e+15
6.391620e+01 2.242546e+15
6.724430e+01 2.014252e+15
7.074560e+01 1.832513e+15
7.442920e+01 1.664111e+15
7.830470e+01 1.487319e+15
8.238190e+01 1.285119e+15
8.667140e+01 1.060469e+15
9.118430e+01 8.334985e+14
9.593210e+01 6.253966e+14
1.009270e+02 4.502797e+14
1.061820e+02 3.120868e+14
1.117110e+02 2.120266e+14
1.175280e+02 1.413562e+14
1.236470e+02 9.357064e+13
1.300850e+02 6.266161e+13
1.368590e+02 4.164819e+13
1.439850e+02 2.741831e+13
1.514820e+02 1.748886e+13
1.593690e+02 1.048347e+13
1.676680e+02 5.975848e+12
1.763980e+02 3.196058e+12
1.855830e+02 1.660127e+12
1.952460e+02 8.610412e+11
2.054120e+02 4.283202e+11
2.161070e+02 2.076026e+11
2.273600e+02 9.564564e+10
2.391980e+02 4.035216e+10
2.516530e+02 1.675798e+10
2.647560e+02 6.512215e+09
2.785410e+02 2.380903e+09
2.930450e+02 8.686894e+08
3.083030e+02 2.813298e+08
3.243560e+02 8.749667e+07
3.412450e+02 2.546598e+07
3.590130e+02 6.809513e+06
3.777060e+02 1.800955e+06
3.973730e+02 4.012065e+05
4.180640e+02 8.546113e+04
4.398320e+02 1.821542e+04
4.627330e+02 2.946031e+03
4.868270e+02 5.255022e+02
5.121760e+02 7.853037e+01
5.388440e+02 9.925322e+00
5.669010e+02 1.333301e+00
5.964180e+02 1.412349e-01
6.274730e+02 1.350758e-02
6.601450e+02 1.065386e-03
6.945180e+02 6.613304e-05
7.306800e+02 4.771891e-06
7.687260e+02 2.822157e-07
8.087520e+02 1.219594e-08
8.508630e+02 5.308684e-10
8.951660e+02 1.968509e-11
9.417770e+02 6.060944e-13
9.908140e+02 1.469701e-14
1.042400e+03 3.051841e-16
1.096680e+03 5.610629e-18
1.153780e+03 7.568373e-20
1.213860e+03 7.785508e-22
1.277060e+03 7.686110e-24
1.343560e+03 4.964156e-26
1.413520e+03 2.503838e-28
1.487120e+03 1.142808e-30
1.564550e+03 2.964393e-33
1.646010e+03 7.685132e-36
1.731720e+03 1.101777e-38
1.821890e+03 1.416067e-41
1.916750e+03 1.058851e-44
2.016550e+03 6.623796e-48
2.121550e+03 2.332469e-51
2.232020e+03 6.187317e-55
2.348230e+03 1.237311e-58
2.470500e+03 1.414211e-62
2.599140e+03 9.966609e-67
2.734470e+03 4.413885e-71
2.876850e+03 1.371017e-75
3.026650e+03 9.070577e-81
3.184240e+03 1.591700e-85
3.350040e+03 5.952079e-91
3.524470e+03 5.009996e-96
3.707990e+03 5.659424e-103
3.901060e+03 2.911119e-109
4.104180e+03 7.904582e-115
4.317880e+03 8.048529e-123
4.542710e+03 4.180469e-130
4.779240e+03 7.868359e-138
5.028090e+03 5.962778e-146
5.289890e+03 7.007751e-151
5.565330e+03 5.420520e-160
5.855110e+03 1.123971e-169
6.159980e+03 8.632243e-183
6.480720e+03 3.476146e-193
6.818160e+03 2.364073e-198
7.173170e+03 4.933706e-209
7.546670e+03 6.597847e-221
7.939620e+03 1.094300e-240
8.353020e+03 8.457292e-246
8.787950e+03 3.685681e-259
9.245530e+03 6.940858e-274
9.726930e+03 3.778263e-286
1.023340e+04 8.255179e-295
1.076620e+04 0.000000e+00
1.132680e+04 0.000000e+00
1.191660e+04 0.000000e+00
1.253710e+04 0.000000e+00
1.318990e+04 0.000000e+00
1.387660e+04 0.000000e+00
1.459920e+04 0.000000e+00
1.535930e+04 0.000000e+00
1.615910e+04 0.000000e+00
1.700050e+04 0.000000e+00
1.788570e+04 0.000000e+00
1.881690e+04 0.000000e+00
1.979670e+04 0.000000e+00
2.082750e+04 0.000000e+00
2.191200e+04 0.000000e+00
2.305290e+04 0.000000e+00
2.425320e+04 0.000000e+00
2.551610e+04 0.000000e+00
2.684460e+04 0.000000e+00
2.824240e+04 0.000000e+00
2.971300e+04 0.000000e+00
3.126010e+04 0.000000e+00
3.288770e+04 0.000000e+00
3.460020e+04 0.000000e+00
3.640170e+04 0.000000e+00
3.829710e+04 0.000000e+00
4.029120e+04 0.000000e+00
4.238910e+04 0.000000e+00
4.459630e+04 0.000000e+00
4.691830e+04 0.000000e+00
4.936130e+04 0.000000e+00
5.193150e+04 0.000000e+00
5.463550e+04 0.000000e+00
5.748030e+04 0.000000e+00
6.047320e+04 0.000000e+00
6.362200e+04 0.000000e+00
6.693470e+04 0.000000e+00
7.041990e+04 0.000000e+00
7.408660e+04 0.000000e+00
7.794420e+04 0.000000e+00
8.200260e+04 0.000000e+00
8.627240e+04 0.000000e+00
9.076450e+04 0.000000e+00
9.549040e+04 0.000000e+00
1.004630e+05 0.000000e+00
1.056930e+05 0.000000e+00
1.111970e+05 0.000000e+00
1.169870e+05 0.000000e+00
1.230780e+05 0.000000e+00
1.294860e+05 0.000000e+00
1.362290e+05 0.000000e+00
1.433220e+05 0.000000e+00
1.507850e+05 0.000000e+00
1.586360e+05 0.000000e+00
1.668960e+05 0.000000e+00
1.755860e+05 0.000000e+00
1.847280e+05 0.000000e+00
1.943470e+05 0.000000e+00
2.044660e+05 0.000000e+00
2.151120e+05 0.000000e+00
2.263130e+05 0.000000e+00
2.380970e+05 0.000000e+00
2.504940e+05 0.000000e+00
2.635370e+05 0.000000e+00
2.772590e+05 0.000000e+00
2.916960e+05 0.000000e+00
3.068840e+05 0.000000e+00
3.228630e+05 0.000000e+00
3.396740e+05 0.000000e+00
3.573600e+05 0.000000e+00
3.759670e+05 0.000000e+00
3.955440e+05 0.000000e+00
4.161390e+05 0.000000e+00
4.378070e+05 0.000000e+00
4.606030e+05 0.000000e+00
4.845860e+05 0.000000e+00
5.098180e+05 0.000000e+00
5.363630e+05 0.000000e+00
5.642910e+05 0.000000e+00
5.936730e+05 0.000000e+00
6.245840e+05 0.000000e+00
6.571060e+05 0.000000e+00
6.913200e+05 0.000000e+00
7.273170e+05 0.000000e+00
7.651870e+05 0.000000e+00
8.050290e+05 0.000000e+00
8.469460e+05 0.000000e+00
8.910450e+05 0.000000e+00
9.374410e+05 0.000000e+00
9.862520e+05 0.000000e+00
1.037610e+06 0.000000e+00
1.091630e+06 0.000000e+00
1.148470e+06 0.000000e+00
1.208270e+06 0.000000e+00
1.271180e+06 0.000000e+00
1.337370e+06 0.000000e+00
1.407010e+06 0.000000e+00
1.480270e+06 0.000000e+00
1.557340e+06 0.000000e+00
1.638430e+06 0.000000e+00
1.723740e+06 0.000000e+00
1.813500e+06 0.000000e+00
1.907920e+06 0.000000e+00
2.007270e+06 0.000000e+00
2.111780e+06 0.000000e+00
2.221740e+06 0.000000e+00
2.337420e+06 0.000000e+00
