# E_gamma(MeV)   Spectrum
5.145440e-01 3.697372e+18
5.413360e-01 4.331373e+18
5.695230e-01 5.145576e+18
5.991770e-01 6.012385e+18
6.303750e-01 6.768213e+18
6.631980e-01 7.295903e+18
6.977300e-01 7.605255e+18
7.340600e-01 7.737130e+18
7.722810e-01 7.738559e+18
8.124930e-01 7.639972e+18
8.547980e-01 7.473357e+18
8.993070e-01 7.257251e+18
9.461320e-01 7.005244e+18
9.953960e-01 6.730188e+18
1.047230e+00 6.440475e+18
1.101750e+00 6.144920e+18
1.159120e+00 5.846380e+18
1.219470e+00 5.550091e+18
1.282970e+00 5.257740e+18
1.349770e+00 4.973004e+18
1.420050e+00 4.696901e+18
1.493990e+00 4.429987e+18
1.571780e+00 4.174089e+18
1.653620e+00 3.928255e+18
1.739730e+00 3.694548e+18
1.830310e+00 3.471803e+18
1.925610e+00 3.260982e+18
2.025880e+00 3.061185e+18
2.131360e+00 2.872778e+18
2.242340e+00 2.695857e+18
2.359100e+00 2.529899e+18
2.481930e+00 2.375098e+18
2.611160e+00 2.230780e+18
2.747120e+00 2.097021e+18
2.890160e+00 1.973925e+18
3.040650e+00 1.860960e+18
3.198970e+00 1.759269e+18
3.365530e+00 1.666833e+18
3.540770e+00 1.584649e+18
3.725140e+00 1.512354e+18
3.919100e+00 1.449779e+18
4.123160e+00 1.396632e+18
4.337850e+00 1.352364e+18
4.563720e+00 1.316553e+18
4.801340e+00 1.289708e+18
5.051340e+00 1.269132e+18
5.314360e+00 1.255054e+18
5.591070e+00 1.246266e+18
5.882190e+00 1.240885e+18
6.188470e+00 1.236620e+18
6.510690e+00 1.229896e+18
6.849700e+00 1.218344e+18
7.206350e+00 1.198741e+18
7.581580e+00 1.170334e+18
7.976340e+00 1.131977e+18
8.391660e+00 1.083772e+18
8.828600e+00 1.027964e+18
9.288290e+00 9.648035e+17
9.771920e+00 8.981166e+17
1.028070e+01 8.290914e+17
1.081600e+01 7.591364e+17
1.137920e+01 6.903006e+17
1.197170e+01 6.237704e+17
1.259510e+01 5.600050e+17
1.325090e+01 4.990678e+17
1.394080e+01 4.418775e+17
1.466670e+01 3.877130e+17
1.543040e+01 3.373773e+17
1.623380e+01 2.913980e+17
