# E_gamma(MeV)   Spectrum
5.145440e-01 6.742522e+18
5.413360e-01 7.920356e+18
5.695230e-01 9.339981e+18
5.991770e-01 1.070250e+19
6.303750e-01 1.176412e+19
6.631980e-01 1.243021e+19
6.977300e-01 1.277671e+19
7.340600e-01 1.287510e+19
7.722810e-01 1.279350e+19
8.124930e-01 1.257629e+19
8.547980e-01 1.226837e+19
8.993070e-01 1.189471e+19
9.461320e-01 1.147474e+19
9.953960e-01 1.102395e+19
1.047230e+00 1.055612e+19
1.101750e+00 1.008221e+19
1.159120e+00 9.607126e+18
1.219470e+00 9.136179e+18
1.282970e+00 8.672722e+18
1.349770e+00 8.221823e+18
1.420050e+00 7.784830e+18
1.493990e+00 7.361969e+18
1.571780e+00 6.955822e+18
1.653620e+00 6.564950e+18
1.739730e+00 6.192004e+18
1.830310e+00 5.835494e+18
1.925610e+00 5.496301e+18
2.025880e+00 5.173387e+18
2.131360e+00 4.866409e+18
2.242340e+00 4.576124e+18
2.359100e+00 4.300505e+18
2.481930e+00 4.040871e+18
2.611160e+00 3.795373e+18
2.747120e+00 3.563525e+18
2.890160e+00 3.346004e+18
3.040650e+00 3.140821e+18
3.198970e+00 2.949702e+18
3.365530e+00 2.769692e+18
3.540770e+00 2.601907e+18
3.725140e+00 2.445748e+18
3.919100e+00 2.300929e+18
4.123160e+00 2.167251e+18
4.337850e+00 2.044681e+18
4.563720e+00 1.932737e+18
4.801340e+00 1.832731e+18
5.051340e+00 1.742779e+18
5.314360e+00 1.663356e+18
5.591070e+00 1.595007e+18
5.882190e+00 1.536698e+18
6.188470e+00 1.489164e+18
6.510690e+00 1.451325e+18
6.849700e+00 1.422469e+18
7.206350e+00 1.401356e+18
7.581580e+00 1.386222e+18
7.976340e+00 1.375038e+18
8.391660e+00 1.365272e+18
8.828600e+00 1.354650e+18
9.288290e+00 1.339660e+18
9.771920e+00 1.318890e+18
1.028070e+01 1.290923e+18
1.081600e+01 1.251665e+18
1.137920e+01 1.202339e+18
1.197170e+01 1.143224e+18
1.259510e+01 1.074563e+18
1.325090e+01 9.990384e+17
1.394080e+01 9.188194e+17
1.466670e+01 8.355626e+17
1.543040e+01 7.521167e+17
1.623380e+01 6.704773e+17
1.707910e+01 5.919006e+17
1.796840e+01 5.173878e+17
1.890400e+01 4.495107e+17
1.988830e+01 3.875314e+17
2.092380e+01 3.331032e+17
2.201330e+01 2.851478e+17
2.315950e+01 2.423382e+17
2.436540e+01 2.054346e+17
2.563410e+01 1.731126e+17
2.696880e+01 1.463251e+17
2.837300e+01 1.245219e+17
2.985040e+01 1.069800e+17
3.140470e+01 9.288411e+16
3.303990e+01 8.116749e+16
3.476020e+01 7.142820e+16
3.657010e+01 6.312592e+16
3.847430e+01 5.574296e+16
4.047760e+01 4.910879e+16
4.258520e+01 4.290745e+16
4.480250e+01 3.708156e+16
4.713530e+01 3.182767e+16
